Date,Value
2015-02-28,349900.0
2015-01-31,399900.0
2014-12-31,335000.0
2014-11-30,335000.0
2014-10-31,335000.0
2014-09-30,349000.0
2014-08-31,349000.0
2014-07-31,329000.0
2014-06-30,287000.0
2014-05-31,259000.0
2014-04-30,249500.0
2014-03-31,239900.0
2014-02-28,274500.0
2014-01-31,243000.0
2013-12-31,229000.0
2013-11-30,243000.0
2013-10-31,243000.0
2013-09-30,265000.0
2013-08-31,175000.0
2013-07-31,205000.0
2013-06-30,214900.0
2013-05-31,214900.0
2013-04-30,214900.0
2013-03-31,169900.0
2013-02-28,169900.0
2013-01-31,174900.0
2012-12-31,179900.0
2012-11-30,179900.0
2012-10-31,174000.0
2012-09-30,174000.0
2012-08-31,155000.0
2012-07-31,139000.0
2012-06-30,139000.0
2012-05-31,140000.0
2012-04-30,175000.0
2012-03-31,199000.0
2012-02-29,110000.0
2012-01-31,149900.0
2011-12-31,135000.0
2011-11-30,135000.0
2011-10-31,159000.0
2011-09-30,135000.0
2011-08-31,159000.0
2011-07-31,159000.0
2011-06-30,179000.0
2011-05-31,160000.0
2011-04-30,164000.0
2011-03-31,165000.0
2011-02-28,165000.0
2011-01-31,140000.0
2010-12-31,125000.0
2010-11-30,124000.0
2010-10-31,124000.0
2010-09-30,125000.0
2010-08-31,125000.0
2010-07-31,125000.0
2010-06-30,125000.0
2010-05-31,105000.0
2010-04-30,124000.0
2010-03-31,119000.0
2010-02-28,124000.0
2010-01-31,124000.0
2009-12-31,129999.0
2009-11-30,164900.0
2009-10-31,179500.0
2009-09-30,180500.0
2009-08-31,202000.0
2009-07-31,179900.0
2009-06-30,175000.0
2009-05-31,175000.0
2009-04-30,145000.0
2009-03-31,145000.0
2009-02-28,137900.0
2009-01-31,175000.0
2008-12-31,131700.0
2008-11-30,124900.0
2008-10-31,131700.0
