;AL;AK;AZ;AR;CA;CO;CT;DE;FL;GA;HI;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;M30;Unemployment Rate;GDP;sp500
AL;1.0;0.9471068497531373;0.9383594575094815;0.9951639082096975;0.9428048552300293;0.9637189289405524;0.9527196043359005;0.9829190672246547;0.9302786535872576;0.9785452920333294;0.9449415015468906;0.9828774998151627;0.983793886375383;0.9840804888178778;0.9855162462065852;0.9895299877457283;0.9943323942977783;0.9667042236876524;0.9770750359967258;0.9700656917425361;0.9711500661676723;0.9049113238985149;0.9766573823199682;0.9965698659866172;0.9939119639220931;0.9738395735247395;0.9864328675916694;0.87431568909095;0.9601968912083528;0.9718274915477233;0.9931906672515186;0.97813707702448;0.9982554914434371;0.90199540224901;0.9694524991713769;0.9477135163301931;0.9769251779358749;0.9873614338270728;0.9550200235941976;0.9981335413288283;0.9757655775467047;0.9940357260746958;0.939024589431616;0.9789684335750766;0.9789655099342291;0.9756494194014307;0.9842553832045914;0.9823783768844248;0.9913127232867935;0.9473718269683854;-0.8039247566107965;-0.31390973071633094;0.6822218531699948;0.9125819197053177
AK;0.9471068497531373;1.0;0.9121185864088102;0.968356464421367;0.9233400223555115;0.9600330686839941;0.8840376231185785;0.9382911716952219;0.9028034295948899;0.9017066067678854;0.9480977532849653;0.954476105192132;0.900591461547465;0.9054100182949586;0.9551731461960654;0.9652617305043403;0.947498738818862;0.9925913738951566;0.9415237911169437;0.945205962649782;0.9317894634507188;0.7745301952718201;0.9360334360378311;0.9636830357335819;0.9399773000375823;0.9824043652415023;0.9542115979452763;0.8045097634590332;0.9141904012017583;0.9290546312292145;0.9627743811244409;0.9449301913413041;0.942960922559918;0.9636315562617155;0.8644138947350756;0.9886781414469662;0.9602971203495092;0.9516298033898334;0.8966350843344679;0.9523206516559343;0.9751207107055839;0.9588226635850502;0.9791622555115694;0.9645104262233399;0.9565848217422602;0.9627198141194154;0.9594049306903636;0.973055662593318;0.9318120725120591;0.9875575973382775;-0.8550960629571609;-0.07694117404752907;0.8310893840405126;0.8959400209152018
AZ;0.9383594575094815;0.9121185864088102;1.0;0.9372313393771508;0.9772782272065506;0.9206406658593229;0.9164720023308977;0.9487742695047983;0.9945191031540188;0.9501616927761642;0.919028151429992;0.9658510464021327;0.9473302899351296;0.9009374327556043;0.9140605497079517;0.9276711011706962;0.9188661614154103;0.9256829086996512;0.937078897882664;0.9654465204231852;0.9354069057853128;0.8654292928196007;0.9596154476489573;0.9390654120853855;0.9480532241650326;0.9297850589119886;0.9158481502987947;0.9648782715249068;0.9413866882915719;0.9477930290253168;0.9433081620982217;0.9337986423296737;0.9303138363955502;0.8495010907844327;0.8955593723735016;0.903731429976976;0.9558577011067044;0.9296800110457538;0.9464116291677573;0.9428808236966943;0.908736063420047;0.9337294339246909;0.8985367530263371;0.9377352640895867;0.9254677817455084;0.9590592900011667;0.9576802592745894;0.92109756314974;0.9364372038252984;0.9112682757250803;-0.7003139287772882;-0.3631984000115732;0.46666236129208055;0.860549411452704
AR;0.9951639082096975;0.968356464421367;0.9372313393771508;1.0;0.9462908986734758;0.9752278847767192;0.9441660154813944;0.9779746184890985;0.9289747093609309;0.9687686561001111;0.9519844093257758;0.980812874544907;0.9712392783560204;0.9776555826618215;0.9898675845412964;0.9952430379505429;0.9942520881787963;0.9825645688018773;0.9773124602503688;0.9700934251700165;0.9729313542893266;0.8879446615420419;0.9774860412815465;0.9976991101977148;0.9914125374073793;0.9835895321326028;0.991358203078091;0.8632298320546427;0.9591945621802018;0.9686631757528023;0.992896111500778;0.9784809954957672;0.993327965437709;0.9287270104484877;0.9565926253952074;0.9694602368753215;0.9788188168953089;0.9868109415825408;0.9493289376532432;0.9949525879452364;0.9864866980528597;0.9952135942270478;0.960422018974815;0.9826443115669536;0.9820456613476471;0.9802779002475049;0.98352162561216;0.9908003613732812;0.9864857567943277;0.964629933968993;-0.8303333449628703;-0.27492702191901286;0.7410779258443438;0.9196208432395485
CA;0.9428048552300293;0.9233400223555115;0.9772782272065506;0.9462908986734758;1.0;0.939810365455654;0.9404574952738881;0.9673145528145286;0.9861434838876738;0.9525595999449179;0.9526010863930655;0.9557377342143977;0.9533307347368514;0.9157674242378813;0.9317757560376263;0.9422752177671704;0.9372107810764695;0.9318077677037578;0.9683632523289433;0.980561775918164;0.9674404238377238;0.8714902388116423;0.9723755978637746;0.9422558176142003;0.9593291214368549;0.9410674348764291;0.9315624101474771;0.9435287778765703;0.9673727804029015;0.9677599660494342;0.9397159405234758;0.963060583277224;0.9400674285239451;0.8856657701563277;0.9058170160503634;0.910625957097093;0.9568812601001377;0.9566472576678815;0.9738377209229379;0.9522331636699213;0.932086245963434;0.9467447822856884;0.9192969192339598;0.930199024324115;0.9568610104423687;0.9796689953802263;0.9658223170591224;0.9378091656879287;0.9455053636939544;0.9212441498738749;-0.7707212726087035;-0.3089193330953701;0.5179394344073724;0.8759875206059737
CO;0.9637189289405524;0.9600330686839941;0.9206406658593229;0.9752278847767192;0.939810365455654;1.0;0.8850859864825587;0.9343419058321575;0.9122230175281439;0.9561443437382752;0.9298033112030172;0.9626873536323751;0.93670735062118;0.960172438221038;0.9845365341540238;0.9882019445503444;0.9776538299627873;0.975128416681202;0.9457251625987613;0.9322505347655536;0.9552118625073922;0.8884766048023726;0.9711366658990643;0.9718026098207746;0.9712718479042725;0.9750089556404783;0.9874697168030846;0.8400943851352626;0.9311933314773257;0.9243960332027521;0.9510238285570568;0.9433446747087817;0.9674458553456675;0.9524101152014276;0.9346042275613107;0.9689007176638882;0.9760770069397531;0.9500387414323652;0.909003991443086;0.9716046055698722;0.9868507449724033;0.9817820379102424;0.9786425210165839;0.978718664755658;0.9470198899033231;0.9528871332502304;0.9727740631761538;0.9773078002650968;0.9653665250838703;0.9594874873197056;-0.8604553841022093;-0.2814315527964444;0.6675889880032109;0.9568618051351226
CT;0.9527196043359005;0.8840376231185785;0.9164720023308977;0.9441660154813944;0.9404574952738881;0.8850859864825587;1.0;0.9795824647045706;0.9250045955544115;0.9460763889314976;0.9134710446306791;0.9162042611085096;0.958491206999289;0.9221054900455082;0.9094593950061186;0.9277474570244457;0.9367756080557519;0.896371970994234;0.9827658155150306;0.967010156576962;0.9773498275563081;0.8589276148331122;0.9437546309611817;0.9439448148125263;0.9580947627885233;0.9034372131731262;0.9124689581317548;0.8764722675964273;0.9868731663563893;0.98914532593268;0.9473433347838965;0.9830870482024302;0.951955572477314;0.8206426400731379;0.9185155335961356;0.8707875976361358;0.9022987517537484;0.969194681650276;0.9878778195014098;0.9539406732905779;0.9032341582717801;0.9386555957474678;0.8687015869002737;0.8888728495180173;0.9675563015872579;0.9616489525932616;0.9262724385072825;0.9142619415170282;0.9389253470471066;0.8714887025539737;-0.7293011075811396;-0.3070667568323611;0.5628694709467628;0.8086379109111296
DE;0.9829190672246547;0.9382911716952219;0.9487742695047983;0.9779746184890985;0.9673145528145286;0.9343419058321575;0.9795824647045706;1.0;0.9530955307477772;0.9608310627186148;0.9638562840082258;0.9705954468342135;0.9793741016929115;0.9496918134546233;0.9578191852799148;0.965085266569314;0.9709339160355527;0.9490145736855219;0.9935686477749129;0.9943529956283755;0.9801474284915427;0.86628119038329;0.9708780271564894;0.9784611845358296;0.980548404658329;0.962749049509952;0.9538171861968102;0.8936738869728331;0.9790255095229572;0.9954719257432052;0.9831026702285179;0.9938633893194044;0.9794464297690438;0.8860962767586594;0.9359763968453845;0.921817289205874;0.9634592779203717;0.9943099778310602;0.9857807219771563;0.9840699157363516;0.9551242965053117;0.9737698565551436;0.9161459368740957;0.9495959841750592;0.9920993740755163;0.9923706593204137;0.9778110801588283;0.9655705016952327;0.9742434972859003;0.938633223095658;-0.7945762068645608;-0.2595331431788918;0.6506377955825169;0.8664104511339524
FL;0.9302786535872576;0.9028034295948899;0.9945191031540188;0.9289747093609309;0.9861434838876738;0.9122230175281439;0.9250045955544115;0.9530955307477772;1.0;0.9451493314612261;0.920167618996356;0.9549180717412011;0.9498368366205456;0.8933350524936365;0.9064334750101513;0.919377635577327;0.9126128224712428;0.9136649811780189;0.9431581583975658;0.971170704398501;0.9416498448169259;0.8643099278592583;0.961729187431856;0.9292174063148968;0.9453983318896945;0.9210533152947575;0.9065756606618685;0.9723850604883287;0.9498986052186491;0.9554467645281106;0.9343894252977537;0.9386504096918018;0.922328634204066;0.8363770501293589;0.8918617842189692;0.8892458316688053;0.9475114004427231;0.9307300774880134;0.9611168505964607;0.9364047273408835;0.8999468337105422;0.9244968341655271;0.8849739379138473;0.9203875893590643;0.927957738809347;0.9621556708609189;0.9520013010303351;0.912291982918327;0.9348947728598512;0.9010827528604334;-0.7007587763659637;-0.32832895062429074;0.43455447765837074;0.8395756513192114
GA;0.9785452920333294;0.9017066067678854;0.9501616927761642;0.9687686561001111;0.9525595999449179;0.9561443437382752;0.9460763889314976;0.9608310627186148;0.9451493314612261;1.0;0.9062655916147113;0.9613618048589397;0.9833070096949781;0.9778147667451413;0.9585275627018974;0.9693072747925008;0.973879081200446;0.9270789676346237;0.9599766639127181;0.948058266946489;0.971454661044108;0.9546079622309238;0.9811548871469703;0.9706204129573787;0.988865687248181;0.9312676223079226;0.9691548241249973;0.9192909535492403;0.9648902788205358;0.9559854173917555;0.9580443023805576;0.9578833454752723;0.9813495263224828;0.8530376476523717;0.9796378109058633;0.9125104848258954;0.9535918931091232;0.9565320428576156;0.9562797342576871;0.9821139411793325;0.9403669713708346;0.9749187992730961;0.9165435444452495;0.9507689550991112;0.9438115814536204;0.9505485550240798;0.9632537655743365;0.9422728801962391;0.9776510664442324;0.8935625056261826;-0.7354591351044398;-0.4151783010278065;0.42606284430826913;0.9068008733596273
