;words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854309011763732481;['looks', 'cool', '!', '#', 'Monopoly', '#', 'pokemon', 'https', ':', '//t.co/JDIa3E7n4V'];This looks cool! #Monopoly #pokemon ;False;59;10;False;True;False;0.0;False;0.11864406779661017;True;False;pos;1.0;436;95;39;53;False;True;True;0.0
854309559724277760;"['Thanks', ',', '@', 'Groupon', '!', 'signed', 'Rock', ""'n"", ""'"", 'Roll', 'Philadelphia', 'Half', 'Marathon', '!', 'https', ':', '//t.co/LqFoJSjQ7O', '#', 'gonnaPRthisbitch']";Thanks, @Groupon! Just signed up for Rock 'n' Roll Philadelphia Half Marathon!  #gonnaPRthisbitch;False;120;19;False;True;True;0.0;False;0.13333333333333333;True;False;pos;1.0;3232;12390;237;167;False;True;False;0.0
854310542122549248;['Use', 'Groupon', 'Massage', 'Business', '(', 'Part', '1', ')', '@', 'dailydealmktg', 'https', ':', '//t.co/3k18Z6S06Z', '#', 'massagetherapy', '#', 'marketing'];"How To Use Groupon In Your Massage Business (Part 1) @dailydealmktg
 #massagetherapy #marketing";False;118;17;False;False;False;0.0;False;0.1016949152542373;True;False;pos;1.0;1379;9160;513;196;False;True;True;0.0
854311433269649410;['New', 'Coupons', ':', 'St.', 'Paul', 'Saints', 'Discount', 'Tickets', 'Goldstar', 'Groupon', 'https', ':', '//t.co/KgwSYEl0HC'];New Coupons: St. Paul Saints Discount Tickets on Goldstar and Groupon ;False;93;13;False;False;False;0.0;False;0.16129032258064516;False;False;neg;0.8;2528;17839;3824;2051;False;True;True;0.0
854311638056353792;['90', '%', 'Dance', 'Code', 'Studio', 'https', ':', '//t.co/dGMzUnJ5vI', 'https', ':', '//t.co/cGtL5y6pLg'];Up to 90% Off at Dance Code Studio  ;False;82;11;False;False;False;0.0;False;0.15853658536585366;False;False;neg;0.8;361;60322;2130;2559;False;True;True;0.0
854311693588996097;['Download', 'run', 'app', 'nearbuy', 'Groupon', ':', 'https', ':', '//t.co/o0DcpVXBGF'];Download and run the app nearbuy by Groupon: ;False;68;9;False;False;False;0.0;False;0.11764705882352941;False;False;neg;0.8;15;8;6;24;False;False;False;0.0
854311796034949128;['#', 'MASSiveCon', 'deal', '#', 'Groupon', 'ends', 'today', '!', 'https', ':', '//t.co/pBw05JY1Q5'];The #MASSiveCon deal on #Groupon ends today! ;False;68;11;False;True;False;0.0;False;0.16176470588235295;True;True;neg;0.8;2408;6935;218;473;False;True;True;0.0
854312706161098752;['62', '%', 'Haircut', 'Packages', 'https', ':', '//t.co/YlEkrpblOT', 'https', ':', '//t.co/NjBlXuWXlV'];Up to 62% Off Haircut Packages  ;False;78;10;False;False;False;0.0;False;0.1794871794871795;False;False;neg;0.8;218;39054;785;0;False;True;False;0.0
854312962332344322;['87', '%', 'Fred', 'Astaire', 'Dance', 'Studio', 'https', ':', '//t.co/guKSgCKBAI', 'https', ':', '//t.co/MmCFih2TnN'];87% Off at Fred Astaire Dance Studio  ;False;84;12;False;False;False;0.0;False;0.20238095238095238;False;False;neg;0.8;145;7548;301;0;False;True;False;0.0
854313045589348352;['New', 'post', ':', 'Groupon', 'College', 'Discount', ':', 'extra', '25', '%', 'local', 'Groupons', 'year', 'long', 'https', ':', '//t.co/xQKbGiaTFW'];New post: Groupon College Discount: extra 25% off local Groupons all year long ;False;102;17;False;False;False;0.0;False;0.10784313725490197;False;False;neg;0.8;1520;1584;97;83;False;True;True;0.0
854313131992068096;['ATTENTION', 'Groupon', 'Restaurant', 'com', 'coupon', 'holders', '!', 'March', '22', ',', '2017', 'Main', 'Street', 'Daily', 'Grind', '...', 'https', ':', '//t.co/NFdAyDI6LJ'];"ATTENTION
Groupon and Restaurant com
coupon holders! 

As of March 22, 2017 the Main Street Daily Grind is under... ";False;139;19;False;True;False;0.0;False;0.17266187050359713;False;False;neg;0.8;1359;1073;291;107;False;True;True;0.0
854313135649415169;['58', '%', 'Salsa', 'Tango', 'Classes', 'El', 'Studio', 'Tango', 'https', ':', '//t.co/yndTCgLtSf', 'https', ':', '//t.co/nEzXMznQtD'];Up to 58% Off Salsa or Tango Classes at El Studio Tango  ;False;103;14;False;False;False;0.0;False;0.1650485436893204;False;False;neg;0.8;145;13625;267;0;False;True;False;0.0
854313617528848386;"[""'m"", 'moderating', 'panel', '!', ""n't"", 'miss', 'Elevate', ""'s"", '2nd', 'meetup', 'great', 'panelists', 'Kraft', ',', 'Groupon', ',', 'Bank', 'America', ',', '…', 'https', ':', '//t.co/JQN6q4BP45']";I'm moderating a panel! Don't miss Elevate's 2nd meetup with great panelists from Kraft, Groupon, Bank of America,… ;False;139;23;False;True;False;0.0;True;0.08633093525179857;False;True;neg;1.0;2128;777;86;105;False;True;False;1.0
854314977255149568;['Like', 'Bitcoin', 'Groupon', 'better', '!', 'https', ':', '//t.co/tpsB1UFtWm', 'https', ':', '//t.co/so0z7jxuLh'];Like Bitcoin and Groupon but better!   ;True;85;11;False;True;False;0.0;False;0.09411764705882353;False;False;pos;0.6;731;211900;48616;25979;False;True;True;0.0
854315042422091776;['@', 'funforeall', 'time', 'passes', 'entail', '?', 'groupon', '2', 'hour', 'fun', 'pass', 'activities', 'go', 'price', 'time', '?', 'work', '?'];@funforeall What do the time passes entail? On groupon is 2 hour fun pass but the activities go by price not time? How does that work?;False;134;18;True;False;True;0.0;False;0.022388059701492536;False;False;pos;1.0;231;655;74;179;False;True;False;0.0
854315045353914370;['@', 'tsunderes', '@', 'whisperno', '@', 'princeofdrunk', 'Yup', '!', '@', 'nyarasho', 'wan', 'na', 'buy', 'Groupon', '.'];@tsunderes @whisperno @princeofdrunk Yup! And @nyarasho if you wanna buy the Groupon.;False;85;15;False;True;False;0.0;True;0.03529411764705882;False;False;neg;1.0;3003;27865;238;371;False;True;True;0.0
854315149234126848;"['E-Male', ""'s"", 'rich', 'stepdad', 'buys', 'newest', 'technology', '.', 'loves', 'Groupon', 'sites', '.', 'cool', 'kid', 'going', 'viral', '2012', '.']";E-Male's rich stepdad buys him all the newest technology. He loves Groupon and some other sites. This cool kid is going viral in 2012.;False;134;18;False;False;False;0.0;True;0.03731343283582089;False;False;pos;0.8;390;12335;10;1;False;False;False;0.0
854315391442710528;['Thanks', ',', '@', 'Groupon', '.', 'Way', 'better', 'Goodmorning', 'text', '.', 'https', ':', '//t.co/GNC9Eo7nvV'];Thanks, @Groupon. Way better than a Goodmorning text. ;False;77;13;False;False;False;0.0;False;0.11688311688311688;False;False;pos;1.0;2064;10499;380;317;False;True;False;0.0
854316263140610048;['Groupon', '|', 'Extra', '10', '%', 'Hotels', 'Travel', 'https', ':', '//t.co/hdPFi5qzfA', 'via', '@', 'DealsPlus'];Groupon | Extra 10% Off Hotels And Travel  via @DealsPlus;False;80;13;False;False;False;0.0;False;0.1375;False;False;pos;0.6;2340;84572;360;65;False;False;True;0.0
854316582360711168;"['@', 'Groupon', 'month', 'since', ""'ve"", 'placed', 'n', 'order', ',', 'called', 'cust', 'svc', '(', 'terrible', ')', ',', ""n't"", 'gotten', 'call', 'back', ',', 'update', ',', 'etc']";@Groupon its now been a month since I've placed n order, called your cust svc (terrible), haven't gotten a call back, update, etc;False;129;24;False;False;False;0.0;True;0.015503875968992248;False;False;neg;1.0;1419;1470;25;41;False;True;False;0.0
854317177222168576;['$', '5', '$', '10', 'Target', 'eGiftCard', '-', 'https', ':', '//t.co/jZvSZneHI8'];$5 for a $10 Target eGiftCard  -  ;False;57;10;False;False;False;0.0;False;0.14035087719298245;False;False;neg;0.8;772;5495;377;671;False;True;True;0.0
854317614788640769;['@', 'SaifulSekh11', ',', 'Like', 'Bitcoin', 'Groupon', 'better', '!', 'https', ':', '//t.co/tC82lMoreE'];@SaifulSekh11,  Like Bitcoin and Groupon but better!  ;False;77;11;False;True;False;0.0;False;0.1038961038961039;False;False;pos;1.0;1038;227854;81052;79455;False;True;True;0.0
