;0;1
@Groupon I have now been waiting for garden furniture for almost a month! Awful customer service when you call. I want a refund asap!;neg;1.0
$5 for a $10 Target eGiftCard  -  https://t.co/jYviVXAzHd  I get this email inviting me to purchase this, then I was denied. #WTF;pos;1.0
E-Male's rich stepdad buys him all the newest technology. He loves Groupon and some other sites. This cool kid is going viral in 2012.;pos;1.0
Tickets for May 13 at THE Brick PAL now available on @Groupon : https://t.co/r9k3e6lVEY #WWE #Smackdown #TNA #CZW… https://t.co/QhyTyhNWSr;pos;1.0
"Who loves a Groupon ?

https://t.co/XeHkT0p8ox";neg;1.0
@GrouponHelpUS that the business tells me that GROUPON will no longer honor. I want a refund immediately.;neg;1.0
So @Groupon keeps on suggesting I go axe throwing... should I? I do have a bit of a Viking look at times... https://t.co/4zy4wwFowY;neg;0.6
@MyCreative_UK Hi sorry for the trouble . Email us at sm.support@groupon.co.uk and we’ll try our best to resolve this matter. Thanks. ^L.;neg;1.0
"Check out our amazing offers on Groupon &amp; Wowcher!";pos;1.0
Dezire Sugarless Delights @ 7% off – All India Nearbuy Groupon Discount: Dezire Sugarless Delights… https://t.co/EtjhrO6Vmc #Deals #Coupons;pos;1.0
The #MASSiveCon deal on #Groupon ends today! https://t.co/pBw05JY1Q5;neg;1.0
GROUPON: Deductions on Deals – Up to 80% Off (Apr 17-18) https://t.co/ftfr9pfaxq;neg;1.0
"ATTENTION
Groupon and Restaurant com
coupon holders! 

As of March 22, 2017 the Main Street Daily Grind is under... https://t.co/NFdAyDI6LJ";neg;1.0
#jerseycity #families want great live entertainment that fits your budget? Get tickets for June 3rd on @Groupon! https://t.co/WD5gBWyroP;pos;1.0
groupon is lit;neg;1.0
@Groupon I've reached out to corporate, no response, called, filled out surveys. I've opened tickets, etc. When am I going to get my item??;pos;1.0
GROUPON: Deductions on Deals – Up to 80% Off (Apr 17-18) https://t.co/45t5tJsH3s;neg;1.0
Like Bitcoin and Groupon but better!  https://t.co/tC82lMoreE https://t.co/MhXE2qdE2o;neg;0.8
50% Off Boot Camp https://t.co/psfNWrRXjo https://t.co/02iDY0EMt1;neg;1.0
Like Bitcoin and Groupon but better!  https://t.co/tpsB1UFtWm https://t.co/so0z7jxuLh;neg;0.8
Up to 51% Off Dance Group Classes at Decibel Dance Fitness https://t.co/HEklM1Cjl3 https://t.co/JA8dSrDT3K;neg;1.0
Groupon: $10 Target eGift Card ONLY $5 (Select Email Subscribers Only) https://t.co/tn0XHGzIVW;neg;1.0
$10 Target eGift Card for $5 (Groupon) — Invite only YMMV https://t.co/eDXCn3AXyL;pos;0.6
Just as international companies – eBay, Groupon, Google – struggle when entering China, Chinese companies often... https://t.co/HkHHvyCCMq;pos;0.6
