timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA;len;set_name
2017_07_13 14:49:12;0.21;0.89;0.88;0.89;-10177376.4;0.91;0.89;0.89;0.9;0.88;0.87;7583;solver_sgd_activation_tanh
2017_07_13 14:48:59;0.13;0.9;0.88;0.9;-55143.94;0.89;0.9;0.9;0.89;0.88;0.9;7583;solver_sgd_activation_tanh
2017_07_13 14:48:46;0.15;0.88;0.86;0.88;-1445886.64;0.88;0.88;0.88;0.89;0.85;0.79;7583;solver_sgd_activation_tanh
2017_07_13 14:48:34;0.17;0.88;0.86;0.88;-734672.89;0.89;0.88;0.88;0.89;0.88;0.74;7583;solver_sgd_activation_tanh
2017_07_13 14:48:21;0.16;0.88;0.86;0.88;-71945.34;0.88;0.88;0.88;0.88;0.87;0.87;7583;solver_sgd_activation_tanh
2017_07_13 14:48:06;0.14;0.89;0.87;0.89;-53365.09;0.89;0.89;0.89;0.9;0.87;0.69;7583;solver_sgd_activation_tanh
2017_07_13 14:47:53;0.16;0.89;0.87;0.89;-3901.67;0.89;0.89;0.89;0.88;0.87;0.86;7583;solver_sgd_activation_tanh
2017_07_13 14:47:36;0.12;0.88;0.86;0.88;-269.93;0.88;0.88;0.87;0.87;0.86;0.34;7583;solver_sgd_activation_tanh
2017_07_13 14:47:23;0.15;0.89;0.87;0.89;-252870.53;0.89;0.89;0.89;0.89;0.87;0.88;7583;solver_sgd_activation_tanh
2017_07_13 14:47:10;0.09;0.88;0.86;0.88;-765.22;0.88;0.88;0.88;0.89;0.87;0.7;7583;solver_sgd_activation_tanh
2017_07_10 17:01:51;0.13;0.89;0.87;0.89;-71192.48;0.9;0.89;0.89;0.9;0.88;0.88;7598;solver_sgd_activation_tanh
2017_07_10 16:50:21;0.14;0.89;0.87;0.89;-2965.25;0.9;0.89;0.89;0.9;0.88;0.86;7598;solver_sgd_activation_tanh
2017_07_10 15:59:46;0.14;0.89;0.86;0.89;-47578.02;0.88;0.89;0.89;0.89;0.87;0.82;7598;solver_sgd_activation_tanh
2017_07_10 15:35:42;0.14;0.89;0.87;0.89;-199261.19;0.89;0.89;0.89;0.89;0.87;0.22;7598;solver_sgd_activation_tanh
2017_07_10 15:27:58;0.16;0.87;0.86;0.87;-140997.51;0.88;0.87;0.87;0.77;0.5;0.73;7604;solver_sgd_activation_tanh
2017_07_10 15:21:22;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;134;solver_sgd_activation_tanh
2017_07_10 15:12:00;0.52;0.93;0.93;0.93;-1969.82;0.93;0.93;0.93;0.93;1.0;0.93;134;solver_sgd_activation_tanh
2017_07_10 13:22:17;0.08;0.87;0.87;0.87;-105538.14;0.87;0.87;0.87;0.87;0.73;0.87;134;solver_sgd_activation_tanh
2017_07_10 12:58:20;0.0;0.93;1.0;1.0;0.0;0.93;1.0;1.0;1.0;0.93;1.0;134;solver_sgd_activation_tanh
2017_07_10 12:57:03;0.0;0.93;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;134;solver_sgd_activation_tanh
2017_07_10 12:54:01;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;134;solver_sgd_activation_tanh
2017_07_10 12:14:36;0.2;0.9;0.88;0.9;-76346.69;0.91;0.9;0.9;0.92;0.9;0.9;5193;solver_sgd_activation_tanh
2017_07_10 11:15:38;0.46;0.93;0.93;0.93;-222238.49;0.93;0.93;0.93;0.87;0.93;0.93;134;solver_sgd_activation_tanh
2017_07_10 11:14:15;0.33;0.93;0.93;0.93;-6580.69;0.93;0.93;0.93;0.93;0.73;0.93;134;solver_sgd_activation_tanh
2017_07_10 11:12:11;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;134;solver_sgd_activation_tanh
2017_07_10 11:07:43;0.57;1.0;0.93;0.93;-24529593.94;1.0;0.93;0.93;0.93;0.87;0.93;134;solver_sgd_activation_tanh
2017_07_10 11:00:49;0.27;0.88;0.86;0.88;-27491.53;0.89;0.88;0.88;0.89;0.88;0.5;7596;solver_sgd_activation_tanh
2017_07_10 11:00:34;0.24;0.88;0.87;0.88;-491359.08;0.89;0.88;0.88;0.9;0.85;0.75;7596;solver_sgd_activation_tanh
2017_07_10 11:00:21;0.3;0.88;0.88;0.87;-1802708.59;0.89;0.87;0.87;0.91;0.87;0.65;7596;solver_sgd_activation_tanh
2017_07_10 11:00:09;0.29;0.89;0.88;0.89;-39355.03;0.9;0.89;0.89;0.91;0.87;0.69;7596;solver_sgd_activation_tanh
2017_07_10 10:59:55;0.28;0.87;0.85;0.87;-96.43;0.88;0.87;0.87;0.9;0.85;0.87;7596;solver_sgd_activation_tanh
2017_07_10 10:59:42;0.23;0.88;0.86;0.88;-179041.03;0.9;0.88;0.88;0.9;0.88;0.77;7596;solver_sgd_activation_tanh
2017_07_10 10:59:28;0.27;0.91;0.9;0.91;-322.18;0.92;0.91;0.91;0.93;0.89;0.41;7596;solver_sgd_activation_tanh
2017_07_10 10:59:10;0.32;0.87;0.86;0.87;-3839.28;0.88;0.87;0.87;0.91;0.85;0.63;7596;solver_sgd_activation_tanh
2017_07_10 10:58:56;0.28;0.88;0.86;0.88;-91394.89;0.9;0.88;0.88;0.92;0.87;0.3;7596;solver_sgd_activation_tanh
2017_07_10 10:58:41;0.2;0.9;0.88;0.9;-139084.98;0.9;0.9;0.9;0.9;0.88;0.75;7596;solver_sgd_activation_tanh
2017_06_26 17:30:21;0.3;0.89;0.86;0.89;-255.26;0.9;0.88;0.88;0.91;0.86;0.43;7704;solver_sgd_activation_tanh
2017_06_26 17:30:08;0.29;0.87;0.88;0.87;-19919.11;0.89;0.87;0.87;0.91;0.86;0.23;7704;solver_sgd_activation_tanh
2017_06_26 17:29:54;0.29;0.88;0.87;0.88;-16476.57;0.9;0.88;0.88;0.92;0.86;0.14;7704;solver_sgd_activation_tanh
2017_06_26 17:29:41;0.16;0.91;0.88;0.9;-204899.35;0.91;0.91;0.9;0.91;0.89;0.9;7704;solver_sgd_activation_tanh
2017_06_26 17:29:26;0.26;0.88;0.87;0.88;-15963.33;0.89;0.88;0.88;0.91;0.86;0.76;7704;solver_sgd_activation_tanh
2017_06_26 17:29:12;0.25;0.89;0.86;0.88;-5293.16;0.9;0.88;0.88;0.9;0.88;0.48;7704;solver_sgd_activation_tanh
2017_06_26 17:28:58;0.26;0.89;0.87;0.88;-103871.2;0.9;0.88;0.88;0.9;0.87;0.12;7704;solver_sgd_activation_tanh
2017_06_26 17:28:45;0.23;0.89;0.87;0.9;-8403.76;0.9;0.9;0.9;0.91;0.89;0.8;7704;solver_sgd_activation_tanh
2017_06_26 17:28:29;0.27;0.89;0.88;0.89;-3019.32;0.91;0.89;0.89;0.91;0.88;0.88;7704;solver_sgd_activation_tanh
2017_06_26 17:28:12;0.26;0.89;0.87;0.89;-802143.16;0.91;0.89;0.89;0.93;0.87;0.13;7704;solver_sgd_activation_tanh
2017_06_26 17:13:12;0.2;0.9;0.88;0.89;-454629.97;0.9;0.9;0.89;0.91;0.88;0.83;7704;solver_adam_activation_tanh
2017_06_26 17:12:56;0.28;0.89;0.88;0.89;-3499.77;0.91;0.89;0.89;0.91;0.88;0.86;7704;solver_adam_activation_tanh
2017_06_26 17:12:41;0.24;0.89;0.88;0.89;-3189.67;0.9;0.89;0.89;0.9;0.87;0.26;7704;solver_adam_activation_tanh
2017_06_26 17:12:28;0.23;0.89;0.87;0.89;-2214.87;0.9;0.89;0.89;0.91;0.87;0.88;7704;solver_adam_activation_tanh
2017_06_26 17:12:16;0.27;0.89;0.87;0.89;-48377.25;0.91;0.89;0.89;0.91;0.88;0.52;7704;solver_adam_activation_tanh
2017_06_26 17:12:04;0.26;0.87;0.86;0.87;-27556.04;0.89;0.87;0.87;0.89;0.85;0.79;7704;solver_adam_activation_tanh
2017_06_26 17:11:50;0.27;0.89;0.86;0.89;-40876.5;0.89;0.89;0.89;0.91;0.85;0.7;7704;solver_adam_activation_tanh
2017_06_26 17:11:37;0.21;0.89;0.87;0.89;-40535.1;0.89;0.9;0.89;0.91;0.88;0.68;7704;solver_adam_activation_tanh
2017_06_26 17:11:25;0.2;0.9;0.87;0.9;-92527.28;0.89;0.89;0.9;0.9;0.86;0.48;7704;solver_adam_activation_tanh
2017_06_26 17:11:10;0.24;0.88;0.87;0.88;-2378892.26;0.89;0.88;0.88;0.9;0.87;0.17;7704;solver_adam_activation_tanh
2017_06_26 17:03:14;0.32;0.87;0.86;0.87;-72886.59;0.89;0.87;0.87;0.9;0.85;0.85;7704;solver_sgd
2017_06_26 17:03:03;0.26;0.87;0.86;0.87;-3594.04;0.88;0.87;0.87;0.89;0.86;0.7;7704;solver_sgd
2017_06_26 17:02:50;0.21;0.9;0.88;0.89;-8043.62;0.9;0.89;0.89;0.9;0.88;0.86;7704;solver_sgd
2017_06_26 17:02:38;0.26;0.89;0.88;0.89;-56828.44;0.91;0.89;0.89;0.92;0.88;0.89;7704;solver_sgd
2017_06_26 17:02:26;0.22;0.89;0.88;0.88;-25062.5;0.9;0.88;0.88;0.9;0.88;0.36;7704;solver_sgd
2017_06_26 17:02:13;0.25;0.89;0.87;0.89;-900901.83;0.89;0.89;0.89;0.91;0.87;0.71;7704;solver_sgd
2017_06_26 17:02:01;0.27;0.9;0.88;0.89;-1167266.37;0.91;0.89;0.89;0.92;0.88;0.23;7704;solver_sgd
2017_06_26 17:01:49;0.27;0.89;0.86;0.89;-6006.02;0.91;0.89;0.89;0.91;0.86;0.55;7704;solver_sgd
2017_06_26 17:01:36;0.23;0.89;0.86;0.88;-143514.85;0.9;0.88;0.88;0.9;0.88;0.24;7704;solver_sgd
2017_06_26 17:01:20;0.28;0.89;0.89;0.89;-2867.52;0.91;0.89;0.89;0.92;0.88;0.12;7704;solver_sgd
2017_06_26 16:55:04;0.26;0.89;0.88;0.89;-386859.57;0.9;0.89;0.89;0.9;0.87;0.31;7704;solver_sgd
2017_06_26 16:54:53;0.23;0.9;0.86;0.9;-137745.74;0.9;0.9;0.9;0.91;0.87;0.84;7704;solver_sgd
2017_06_26 16:54:41;0.2;0.9;0.88;0.9;-96497.52;0.91;0.9;0.9;0.92;0.87;0.82;7704;solver_sgd
2017_06_26 16:54:29;0.29;0.89;0.87;0.89;-12262.61;0.9;0.89;0.89;0.93;0.88;0.84;7704;solver_sgd
2017_06_26 16:54:16;0.19;0.9;0.87;0.9;-105067.52;0.89;0.9;0.9;0.9;0.87;0.38;7704;solver_sgd
2017_06_26 16:54:04;0.27;0.86;0.85;0.86;-1586199.51;0.88;0.86;0.86;0.89;0.84;0.66;7704;solver_sgd
2017_06_26 16:53:51;0.23;0.89;0.87;0.9;-5944279.86;0.9;0.9;0.89;0.92;0.88;0.88;7704;solver_sgd
2017_06_26 16:53:38;0.27;0.87;0.86;0.87;-80812.94;0.88;0.87;0.87;0.89;0.85;0.77;7704;solver_sgd
2017_06_26 16:53:22;0.21;0.89;0.86;0.88;-4932.81;0.89;0.88;0.88;0.9;0.87;0.4;7704;solver_sgd
2017_06_26 16:53:10;0.24;0.88;0.87;0.88;-33223.92;0.9;0.88;0.88;0.91;0.87;0.87;7704;solver_sgd
2017_06_26 16:37:35;0.21;0.9;0.88;0.9;-2330054.51;0.91;0.9;0.9;0.91;0.88;0.87;7704;solver_lbfgs_activation_tanh
2017_06_26 16:37:16;0.25;0.89;0.88;0.89;-6913.22;0.91;0.89;0.89;0.91;0.88;0.57;7704;solver_lbfgs_activation_tanh
2017_06_26 16:36:55;0.28;0.89;0.88;0.89;-134654.7;0.91;0.89;0.89;0.91;0.88;0.34;7704;solver_lbfgs_activation_tanh
2017_06_26 16:36:34;0.23;0.89;0.87;0.89;-2015.4;0.9;0.89;0.89;0.91;0.88;0.69;7704;solver_lbfgs_activation_tanh
2017_06_26 16:36:15;0.29;0.86;0.86;0.86;-3335.39;0.88;0.86;0.86;0.9;0.85;0.16;7704;solver_lbfgs_activation_tanh
2017_06_26 16:35:56;0.28;0.88;0.86;0.88;-168804.66;0.9;0.88;0.88;0.91;0.85;0.73;7704;solver_lbfgs_activation_tanh
2017_06_26 16:35:38;0.26;0.87;0.85;0.87;-931987.63;0.88;0.88;0.87;0.9;0.86;0.71;7704;solver_lbfgs_activation_tanh
2017_06_26 16:35:19;0.15;0.9;0.87;0.9;-89828.97;0.91;0.9;0.9;0.9;0.88;0.15;7704;solver_lbfgs_activation_tanh
2017_06_26 16:35:02;0.28;0.9;0.87;0.88;-2699.12;0.88;0.88;0.88;0.9;0.87;0.63;7704;solver_lbfgs_activation_tanh
2017_06_26 16:34:41;0.26;0.88;0.87;0.88;-22936.82;0.89;0.88;0.88;0.89;0.86;0.87;7704;solver_lbfgs_activation_tanh
2017_06_26 16:25:34;0.22;0.9;0.89;0.9;-8733.01;0.91;0.9;0.13;0.91;0.89;0.87;7704;solver_lbfgs
2017_06_26 16:25:21;0.24;0.9;0.87;0.9;-25864.81;0.89;0.9;0.66;0.91;0.88;0.88;7704;solver_lbfgs
2017_06_26 16:25:09;0.22;0.89;0.87;0.89;-41585.11;0.9;0.89;0.11;0.91;0.86;0.29;7704;solver_lbfgs
2017_06_26 16:24:57;0.28;0.88;0.87;0.88;-76645.39;0.89;0.88;0.87;0.9;0.86;0.68;7704;solver_lbfgs
2017_06_26 16:24:44;0.28;0.88;0.86;0.88;-3224150.02;0.9;0.88;0.14;0.91;0.86;0.74;7704;solver_lbfgs
2017_06_26 16:24:29;0.25;0.89;0.85;0.89;-234.06;0.9;0.89;0.68;0.91;0.87;0.86;7704;solver_lbfgs
2017_06_26 16:24:18;0.23;0.9;0.88;0.9;-646.45;0.9;0.9;0.89;0.91;0.88;0.42;7704;solver_lbfgs
2017_06_26 16:24:06;0.26;0.89;0.86;0.89;-597427.85;0.9;0.89;0.67;0.92;0.88;0.61;7704;solver_lbfgs
2017_06_26 16:23:54;0.34;0.87;0.86;0.87;-39377.14;0.91;0.87;0.64;0.92;0.86;0.25;7704;solver_lbfgs
2017_06_26 16:23:42;0.23;0.89;0.87;0.89;-2042597.14;0.89;0.89;0.57;0.9;0.88;0.25;7704;solver_lbfgs
2017_06_26 16:14:21;0.27;0.88;0.87;0.88;-4679.42;0.9;0.88;0.86;0.92;0.87;0.77;7704;default
