time_stamp;Train_News;Train_Spam;Accuracy;Kappa;News_F1;AdaBoost;BernoulliNB;LinearSVC;LogisticRegression;MLP;MultinomialNB;NaiveBayes;RandomForest;SGD;SVC;Vote
2017_08_03_00:01:16;970.0;973.0;85.71;71.43;0.85;0;0;0;1;0;0;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;86.55;73.09;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;86.79;73.57;0.87;0;0;0;0;0;1;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;86.91;73.81;0.87;0;1;0;0;0;0;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;84.75;69.51;0.85;0;0;1;0;0;0;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;84.39;68.79;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_03_00:01:16;970.0;973.0;49.46;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_03_00:01:16;970.0;973.0;51.38;3.76;0.08;0;0;0;0;0;0;0;0;0;1;0
2017_08_03_00:01:16;970.0;973.0;80.43;60.85;0.81;0;0;0;0;0;0;0;0;0;1;0
2017_08_03_00:01:16;970.0;973.0;83.31;66.6;0.84;0;0;0;0;0;0;0;0;1;0;0
2017_08_03_00:01:16;970.0;973.0;85.95;71.91;0.86;0;0;0;0;1;0;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;83.31;66.66;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_03_00:01:16;970.0;973.0;75.75;51.67;0.71;1;0;0;0;0;0;0;0;0;0;0
2017_08_03_00:01:16;970.0;973.0;86.91;73.83;0.87;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_23:46:15;962.0;981.0;86.07;72.14;0.86;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;88.24;76.37;0.89;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;87.76;75.41;0.89;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;88.0;75.9;0.89;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;84.03;68.03;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;82.71;65.4;0.83;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:46:15;962.0;981.0;48.5;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:46:15;962.0;981.0;49.82;2.49;0.06;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:46:15;962.0;981.0;78.63;57.22;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:46:15;962.0;981.0;81.51;63.08;0.81;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_23:46:15;962.0;981.0;85.71;71.4;0.86;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;84.27;68.54;0.84;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_23:46:15;962.0;981.0;74.43;49.29;0.71;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_23:46:15;962.0;981.0;87.27;74.52;0.87;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_23:31:26;982.0;961.0;86.67;73.35;0.86;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;85.95;71.96;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;86.67;73.4;0.87;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;85.71;71.49;0.87;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;85.95;71.91;0.85;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;84.39;68.79;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:31:26;982.0;961.0;49.1;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:31:26;982.0;961.0;49.82;1.38;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:31:26;982.0;961.0;79.47;58.95;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:31:26;982.0;961.0;83.79;67.63;0.84;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_23:31:26;982.0;961.0;86.31;72.63;0.86;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;85.71;71.41;0.85;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_23:31:26;982.0;961.0;77.79;55.35;0.74;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_23:31:26;982.0;961.0;87.64;75.28;0.87;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_23:16:29;940.0;1003.0;84.03;68.13;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;86.31;72.38;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;86.07;71.87;0.87;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;86.79;73.4;0.88;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;82.59;65.09;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;82.23;64.35;0.83;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:16:29;940.0;1003.0;45.86;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:16:29;940.0;1003.0;47.06;2.04;0.04;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:16:29;940.0;1003.0;77.67;55.18;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:16:29;940.0;1003.0;81.63;63.37;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_23:16:29;940.0;1003.0;84.63;69.25;0.85;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;83.91;67.5;0.85;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_23:16:29;940.0;1003.0;73.83;48.69;0.72;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_23:16:29;940.0;1003.0;85.35;70.68;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_23:01:28;979.0;964.0;85.11;70.21;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;86.67;73.36;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;85.59;71.21;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;85.95;71.93;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;82.23;64.45;0.82;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;81.39;62.77;0.81;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:01:28;979.0;964.0;49.46;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:01:28;979.0;964.0;50.54;2.11;0.67;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:01:28;979.0;964.0;77.07;54.15;0.77;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_23:01:28;979.0;964.0;82.35;64.72;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_23:01:28;979.0;964.0;85.35;70.69;0.85;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;83.55;67.08;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_23:01:28;979.0;964.0;72.75;45.27;0.66;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_23:01:28;979.0;964.0;86.31;72.62;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_22:46:30;974.0;969.0;84.51;69.03;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_22:46:30;974.0;969.0;87.15;74.31;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_22:46:30;974.0;969.0;86.43;72.87;0.87;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_22:46:30;974.0;969.0;86.43;72.87;0.87;0;1;0;0;0;0;0;0;0;0;0
