;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866661103203360768;2017_07_13 14:49:12;[ 1.51378356];[2];[2];[2];[-3.86652046];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:49:13;[ 1.57082444];[2];[1];[2];[-971.70446998];[1];[2];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:49:13;[ 1.39292168];[1];[1];[2];[-7434.70816819];[1];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:49:13;[ 1.75876368];[2];[2];[2];[ 0.14338003];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:49:14;[ 1.52148514];[2];[2];[2];[-676.16164679];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:49:14;[ 1.77080708];[2];[2];[2];[ 0.16866702];[2];[2];[2];[2];[2];[2]
0;869140128438136832;2017_07_13 14:49:14;[ 1.83793189];[2];[2];[2];[ 56.47790323];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_07_13 14:49:00;[ 1.50404698];[2];[1];[2];[ 1.66092925];[2];[2];[2];[1];[2];[2]
0;866668601419456512;2017_07_13 14:49:00;[ 1.55527757];[2];[1];[2];[ 206.48512341];[1];[2];[2];[1];[2];[2]
0;866668290290184192;2017_07_13 14:49:00;[ 1.34036693];[1];[1];[2];[ 1432.41909366];[2];[2];[2];[1];[1];[2]
0;869132139186573312;2017_07_13 14:49:01;[ 1.75564075];[2];[1];[2];[ 0.25322824];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:49:01;[ 1.50694892];[2];[1];[2];[ 130.84978344];[2];[2];[2];[1];[2];[2]
0;860779411116888064;2017_07_13 14:49:02;[ 1.76994093];[2];[2];[2];[ 0.26346334];[2];[2];[2];[2];[2];[2]
0;869140128438136832;2017_07_13 14:49:02;[ 1.84122617];[2];[2];[2];[-2.72483881];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_07_13 14:48:47;[ 1.51013196];[2];[1];[2];[-3.72085539];[2];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:48:47;[ 1.5575346];[2];[1];[2];[-987.82674132];[1];[2];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:48:48;[ 1.36729016];[1];[1];[2];[-6417.72868296];[2];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:48:48;[ 1.75941515];[2];[2];[2];[ 2.26848108];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:48:48;[ 1.51361971];[2];[2];[2];[-586.5642952];[2];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:48:49;[ 1.77270872];[2];[2];[2];[ 2.5983975];[2];[2];[2];[2];[2];[2]
0;869140128438136832;2017_07_13 14:48:49;[ 1.84428533];[2];[2];[2];[ 10.44155822];[2];[2];[2];[2];[2];[1]
0;866661103203360768;2017_07_13 14:48:34;[ 1.51060025];[2];[1];[2];[ 7.44515688];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:48:34;[ 1.55877716];[2];[1];[2];[ 1072.3020013];[1];[2];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:48:35;[ 1.35243501];[1];[1];[2];[ 6753.28147629];[1];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:48:35;[ 1.76127221];[2];[2];[2];[ 0.15474006];[2];[2];[2];[2];[2];[1]
0;866630898715947009;2017_07_13 14:48:36;[ 1.51438066];[2];[2];[2];[ 620.58274476];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:48:36;[ 1.77325627];[2];[2];[2];[ 0.14309166];[2];[2];[2];[2];[2];[1]
0;869140128438136832;2017_07_13 14:48:36;[ 1.83846186];[2];[2];[2];[ 3.27672564];[2];[2];[2];[2];[2];[1]
0;866661103203360768;2017_07_13 14:48:21;[ 1.513986];[2];[1];[2];[-1.56234145];[1];[2];[2];[1];[2];[2]
0;866668601419456512;2017_07_13 14:48:21;[ 1.56681397];[2];[1];[2];[-252.90861755];[1];[2];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:48:22;[ 1.35340868];[1];[1];[2];[-902.39209263];[1];[2];[2];[1];[1];[2]
0;869132139186573312;2017_07_13 14:48:22;[ 1.75872911];[2];[2];[2];[ 0.93216361];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:48:23;[ 1.51752621];[2];[2];[2];[-86.12072014];[1];[2];[2];[1];[2];[2]
0;860779411116888064;2017_07_13 14:48:23;[ 1.76848137];[2];[2];[2];[ 1.08133586];[2];[2];[2];[2];[2];[2]
0;869140128438136832;2017_07_13 14:48:23;[ 1.8403417];[2];[2];[2];[-26.17902615];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_07_13 14:48:06;[ 1.49990122];[2];[1];[2];[-1.48171162];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:48:07;[ 1.55872054];[2];[1];[2];[-277.58321649];[1];[2];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:48:07;[ 1.34056715];[1];[1];[2];[-1208.59433955];[1];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:48:08;[ 1.75836102];[2];[2];[2];[ 1.15465999];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:48:08;[ 1.50119501];[2];[2];[2];[-113.11827079];[2];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:48:09;[ 1.77346372];[2];[2];[2];[ 1.3064541];[2];[2];[2];[2];[2];[2]
0;869140128438136832;2017_07_13 14:48:09;[ 1.84863252];[2];[2];[2];[-19.87208253];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_07_13 14:47:53;[ 1.50730175];[2];[1];[2];[ 0.75633419];[2];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:47:54;[ 1.55283983];[2];[1];[2];[-124.04438869];[1];[2];[2];[2];[2];[1]
0;866668290290184192;2017_07_13 14:47:54;[ 1.33789582];[1];[1];[2];[-743.94051829];[1];[1];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:47:54;[ 1.75912921];[2];[1];[2];[ 1.38257509];[2];[2];[2];[2];[2];[1]
0;866630898715947009;2017_07_13 14:47:55;[ 1.50778633];[2];[2];[2];[-67.36740005];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:47:55;[ 1.77268867];[2];[2];[2];[ 1.56687692];[2];[2];[2];[2];[2];[1]
0;869140128438136832;2017_07_13 14:47:55;[ 1.84369575];[2];[2];[2];[ 1.00208336];[2];[2];[2];[2];[2];[2]
0;866661103203360768;2017_07_13 14:47:37;[ 1.5005724];[2];[1];[2];[ 1.83915891];[2];[2];[2];[1];[2];[1]
0;866668601419456512;2017_07_13 14:47:37;[ 1.54394391];[2];[1];[2];[ 23.01172065];[1];[1];[2];[1];[2];[1]
0;866668290290184192;2017_07_13 14:47:37;[ 1.32263011];[1];[1];[2];[ 104.335938];[1];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:47:38;[ 1.75910858];[2];[2];[2];[ 1.56033969];[2];[2];[2];[2];[2];[1]
0;866630898715947009;2017_07_13 14:47:38;[ 1.50433464];[2];[2];[2];[ 11.25299456];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_07_13 14:47:39;[ 1.77226872];[2];[2];[2];[ 1.78145401];[2];[2];[2];[2];[2];[1]
0;869140128438136832;2017_07_13 14:47:39;[ 1.84449924];[2];[2];[2];[ 4.63021041];[2];[2];[2];[2];[2];[1]
0;866661103203360768;2017_07_13 14:47:24;[ 1.50873545];[2];[1];[2];[ 3.05981389];[2];[2];[2];[1];[2];[2]
0;866668601419456512;2017_07_13 14:47:24;[ 1.55829236];[2];[1];[2];[ 428.87292173];[1];[2];[2];[1];[2];[2]
0;866668290290184192;2017_07_13 14:47:24;[ 1.35605664];[1];[1];[2];[ 2756.42620641];[1];[2];[2];[1];[1];[1]
0;869132139186573312;2017_07_13 14:47:25;[ 1.75718801];[2];[2];[2];[ 0.69442291];[2];[2];[2];[2];[2];[2]
0;866630898715947009;2017_07_13 14:47:25;[ 1.51127087];[2];[2];[2];[ 253.50723932];[1];[2];[2];[1];[2];[2]
0;860779411116888064;2017_07_13 14:47:26;[ 1.77436533];[2];[2];[2];[ 0.81093488];[2];[2];[2];[2];[2];[2]
