;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_08_02_10:25:53;LogisticRegression;979.0;964.0;412.0;421.0;352.0;352.0;69.0;60.0;84.51;69.03;0.85;0.16;0.84;0.85;0.84;0.84;0.15;0.85;0.84;0.84
1;2017_08_02_10:25:53;NaiveBayes;979.0;964.0;412.0;421.0;384.0;325.0;96.0;28.0;85.11;70.28;0.93;0.23;0.8;0.93;0.86;0.77;0.07;0.92;0.77;0.84
2;2017_08_02_10:25:53;MultinomialNB;979.0;964.0;412.0;421.0;383.0;320.0;101.0;29.0;84.39;68.84;0.93;0.24;0.79;0.93;0.85;0.76;0.07;0.92;0.76;0.83
3;2017_08_02_10:25:53;BernoulliNB;979.0;964.0;412.0;421.0;384.0;313.0;108.0;28.0;83.67;67.41;0.93;0.26;0.78;0.93;0.85;0.74;0.07;0.92;0.74;0.82
4;2017_08_02_10:25:53;LinearSVC;979.0;964.0;412.0;421.0;348.0;344.0;77.0;64.0;83.07;66.15;0.84;0.18;0.82;0.84;0.83;0.82;0.16;0.84;0.82;0.83
5;2017_08_02_10:25:53;LinearSVC;979.0;964.0;412.0;421.0;348.0;344.0;77.0;64.0;83.07;66.15;0.84;0.18;0.82;0.84;0.83;0.82;0.16;0.84;0.82;0.83
6;2017_08_02_10:25:53;SGD;979.0;964.0;412.0;421.0;333.0;357.0;64.0;79.0;82.83;65.65;0.81;0.15;0.84;0.81;0.82;0.85;0.19;0.82;0.85;0.83
7;2017_08_02_10:25:53;MLP;979.0;964.0;412.0;421.0;350.0;347.0;74.0;62.0;83.67;67.35;0.85;0.18;0.83;0.85;0.84;0.82;0.15;0.85;0.82;0.83
8;2017_08_02_10:25:53;RandomForest;979.0;964.0;412.0;421.0;321.0;366.0;55.0;91.0;82.47;64.91;0.78;0.13;0.85;0.78;0.81;0.87;0.22;0.8;0.87;0.83
9;2017_08_02_10:25:53;AdaBoost;979.0;964.0;412.0;421.0;232.0;391.0;30.0;180.0;74.79;49.38;0.56;0.07;0.89;0.56;0.69;0.93;0.44;0.68;0.93;0.79
10;2017_08_02_10:25:53;Vote;979.0;964.0;412.0;421.0;354.0;352.0;69.0;58.0;84.75;69.51;0.86;0.16;0.84;0.86;0.85;0.84;0.14;0.86;0.84;0.85
11;2017_08_02_08:48:03;LogisticRegression;972.0;7710.0;420.0;3302.0;172.0;3224.0;78.0;248.0;91.24;46.87;0.41;0.02;0.69;0.41;0.51;0.98;0.59;0.93;0.98;0.95
12;2017_08_02_08:48:03;NaiveBayes;972.0;7710.0;420.0;3302.0;281.0;3086.0;216.0;139.0;90.46;55.89;0.67;0.07;0.57;0.67;0.62;0.93;0.33;0.96;0.93;0.94
13;2017_08_02_08:48:03;MultinomialNB;972.0;7710.0;420.0;3302.0;303.0;3066.0;236.0;117.0;90.52;57.84;0.72;0.07;0.56;0.72;0.63;0.93;0.28;0.96;0.93;0.94
14;2017_08_02_08:48:03;BernoulliNB;972.0;7710.0;420.0;3302.0;221.0;3158.0;144.0;199.0;90.78;51.18;0.53;0.04;0.61;0.53;0.57;0.96;0.47;0.94;0.96;0.95
