;num_stop_words;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;retweet_count;urls_wiki;urls_moz;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;msg_p_day;label
883266298611982337;3;False;136;11;False;False;False;0.0;False;0.051;True;0.0;True;False;3129;1461;729;1103;False;True;True;0.467;2
862293211234136066;4;False;138;5;False;False;False;0.0;False;0.051;False;154.0;False;False;2377;322630;213735;400;True;True;True;135.73;1
869140837145489409;2;False;137;6;False;False;False;0.0;False;0.423;True;7.0;True;False;1213;849357;132492;124255;False;True;True;700.212;2
879790799805849600;9;False;138;12;False;False;False;0.0;False;0.094;True;116.0;True;False;583;181991;29604;25397;False;True;True;312.163;2
869137325749567490;5;False;141;12;False;False;False;0.0;False;0.035;False;0.0;True;False;1239;524841;24711;12648;False;True;True;423.6;2
860784967957200896;3;False;98;11;False;False;False;0.0;False;0.184;False;0.0;False;False;2750;156605;196;0;False;True;True;56.947;1
879973926767603712;7;False;136;9;False;True;False;0.0;True;0.096;True;15.0;False;False;2428;862;1170;1598;False;True;True;0.355;1
868991549622931457;5;False;131;9;False;False;False;0.0;True;0.115;True;125.0;True;False;1863;86222;58942;49263;False;True;True;46.281;2
874983068309880833;5;False;126;10;True;False;False;0.0;False;0.056;False;2.0;False;False;2728;24205;9511;3331;False;True;True;8.873;1
869123690797166592;5;False;138;11;False;False;False;0.0;False;0.087;True;6.0;False;False;1381;409152;47737;41554;False;True;True;296.272;2
862291773736878080;5;False;97;6;False;False;False;0.0;True;0.165;False;0.0;False;False;131;1575;261;247;False;True;True;12.023;1
875703660466102272;11;False;127;12;False;False;False;0.0;True;0.071;False;11.0;False;False;2625;635195;11699;5534;False;True;False;241.979;1
875733966678052866;6;False;89;6;True;False;False;0.0;True;0.101;False;0.0;False;False;1609;624;176;143;False;True;True;0.388;1
875721262303195136;3;False;121;12;False;False;False;0.0;True;0.099;False;16.0;False;False;3099;24022;191478;27641;False;True;True;7.752;1
