;time_stamp;Name;Kernel;feature_cnt;gamma;C;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_09_01_22:40:26;SVC;poly;3000;10.0;1000;679.0;685.0;299.0;286.0;87.0;279.0;7.0;212.0;62.56;26.24;63.32;14.691;0.29;0.02;0.93;0.29;0.44;0.98;0.71;0.57;0.98;0.72
1;2017_09_01_22:40:09;SVC;poly;3000;10.0;1000;691.0;673.0;287.0;298.0;69.0;292.0;6.0;218.0;61.71;22.33;61.01;14.062000000000001;0.24;0.02;0.92;0.24;0.38;0.98;0.76;0.57;0.98;0.72
2;2017_09_01_22:39:53;SVC;poly;3000;10.0;1000;685.0;679.0;293.0;292.0;67.0;282.0;10.0;226.0;59.66;19.42;59.72;13.836;0.23;0.03;0.87;0.23;0.36;0.97;0.77;0.56;0.97;0.71
3;2017_09_01_22:39:37;SVC;poly;3000;10.0;1000;685.0;679.0;293.0;292.0;97.0;285.0;7.0;196.0;65.3;30.67;65.35;16.424;0.33;0.02;0.93;0.33;0.49;0.98;0.67;0.59;0.98;0.74
4;2017_09_01_22:39:18;SVC;poly;3000;10.0;1000;684.0;680.0;294.0;291.0;81.0;284.0;7.0;213.0;62.39;25.06;62.57;21453.356;0.28;0.02;0.92;0.28;0.43;0.98;0.72;0.57;0.98;0.72
5;2017_09_01_16:41:42;SVC;poly;3000;10.0;1000;690.0;674.0;288.0;297.0;86.0;290.0;7.0;202.0;64.27;27.79;63.75;16.378;0.3;0.02;0.92;0.3;0.45;0.98;0.7;0.59;0.98;0.74
6;2017_09_01_16:41:23;SVC;poly;3000;10.0;1000;710.0;654.0;268.0;317.0;70.0;308.0;9.0;198.0;64.62;24.62;61.64;24.878;0.26;0.03;0.89;0.26;0.4;0.97;0.74;0.61;0.97;0.75
7;2017_09_01_16:40:55;SVC;poly;3000;10.0;1000;686.0;678.0;292.0;293.0;91.0;285.0;8.0;201.0;64.27;28.47;64.22;20.082;0.31;0.03;0.92;0.31;0.46;0.97;0.69;0.59;0.97;0.73
8;2017_09_01_16:40:32;SVC;poly;3000;10.0;1000;676.0;688.0;302.0;283.0;118.0;275.0;8.0;184.0;67.18;35.55;68.12;20.128;0.39;0.03;0.94;0.39;0.55;0.97;0.61;0.6;0.97;0.74
9;2017_09_01_16:40:09;SVC;poly;3000;10.0;1000;691.0;673.0;287.0;298.0;72.0;290.0;8.0;215.0;61.88;22.7;61.2;21.174;0.25;0.03;0.9;0.25;0.39;0.97;0.75;0.57;0.97;0.72
10;2017_09_01_16:39:45;SVC;poly;3000;1.0;1000;680.0;684.0;298.0;287.0;93.0;277.0;10.0;205.0;63.25;27.38;63.86;23.063;0.31;0.03;0.9;0.31;0.46;0.97;0.69;0.57;0.97;0.72
11;2017_09_01_16:39:17;SVC;poly;3000;1.0;1000;701.0;663.0;277.0;308.0;122.0;291.0;17.0;155.0;70.6;39.51;69.26;2529.115;0.44;0.06;0.88;0.44;0.59;0.94;0.56;0.65;0.94;0.77
12;2017_09_01_15:57:05;SVC;poly;3000;1.0;1000;676.0;688.0;302.0;283.0;75.0;270.0;13.0;227.0;58.97;19.77;60.12;17.158;0.25;0.05;0.85;0.25;0.39;0.95;0.75;0.54;0.95;0.69
13;2017_09_01_15:56:45;SVC;poly;3000;1.0;1000;684.0;680.0;294.0;291.0;71.0;286.0;5.0;223.0;61.03;22.35;61.22;17.896;0.24;0.02;0.93;0.24;0.38;0.98;0.76;0.56;0.98;0.71
14;2017_09_01_15:56:25;SVC;poly;3000;1.0;1000;693.0;671.0;285.0;300.0;136.0;285.0;15.0;149.0;71.97;43.23;71.36;17.125;0.48;0.05;0.9;0.48;0.63;0.95;0.52;0.66;0.95;0.78
15;2017_09_01_15:56:05;SVC;poly;3000;1.0;1000;686.0;678.0;292.0;293.0;76.0;283.0;10.0;216.0;61.37;22.64;61.31;14.952;0.26;0.03;0.88;0.26;0.4;0.97;0.74;0.57;0.97;0.72
16;2017_09_01_15:55:48;SVC;poly;3000;1.0;1000;678.0;686.0;300.0;285.0;89.0;281.0;4.0;211.0;63.25;27.76;64.13;15.695;0.3;0.01;0.96;0.3;0.46;0.99;0.7;0.57;0.99;0.72
17;2017_09_01_15:55:30;SVC;poly;3000;1.0;1000;672.0;692.0;306.0;279.0;296.0;67.0;212.0;10.0;62.05;21.43;60.37;14.239;0.97;0.76;0.58;0.97;0.73;0.24;0.03;0.87;0.24;0.38
18;2017_09_01_15:55:13;SVC;poly;3000;1.0;1000;708.0;656.0;270.0;315.0;78.0;305.0;10.0;192.0;65.47;27.02;62.86;14.51;0.29;0.03;0.89;0.29;0.44;0.97;0.71;0.61;0.97;0.75
19;2017_09_01_15:54:56;SVC;poly;3000;1.0;1000;682.0;682.0;296.0;289.0;81.0;283.0;6.0;215.0;62.22;25.07;62.64;15.232000000000001;0.27;0.02;0.93;0.27;0.42;0.98;0.73;0.57;0.98;0.72
20;2017_09_01_15:54:39;SVC;poly;3000;10.0;100;675.0;689.0;303.0;282.0;137.0;274.0;8.0;166.0;70.26;41.57;71.19;15.027;0.45;0.03;0.94;0.45;0.61;0.97;0.55;0.62;0.97;0.76
21;2017_09_01_15:54:22;SVC;poly;3000;10.0;100;688.0;676.0;290.0;295.0;79.0;282.0;13.0;211.0;61.71;22.97;61.42;14.728;0.27;0.04;0.86;0.27;0.41;0.96;0.73;0.57;0.96;0.72
22;2017_09_01_15:54:05;SVC;poly;3000;10.0;100;676.0;688.0;302.0;283.0;95.0;277.0;6.0;207.0;63.59;28.7;64.67;14.753;0.31;0.02;0.94;0.31;0.47;0.98;0.69;0.57;0.98;0.72
23;2017_09_01_15:53:46;SVC;poly;3000;10.0;100;681.0;683.0;297.0;288.0;78.0;278.0;10.0;219.0;60.85;22.54;61.4;17.378;0.26;0.03;0.89;0.26;0.4;0.97;0.74;0.56;0.97;0.71
24;2017_09_01_15:53:26;SVC;poly;3000;10.0;100;686.0;678.0;292.0;293.0;83.0;287.0;6.0;209.0;63.25;26.41;63.19;20.471;0.28;0.02;0.93;0.28;0.43;0.98;0.72;0.58;0.98;0.73
25;2017_09_01_15:53:02;SVC;poly;3000;10.0;100;680.0;684.0;298.0;287.0;79.0;281.0;6.0;219.0;61.54;24.09;62.21;18.783;0.27;0.02;0.93;0.27;0.42;0.98;0.73;0.56;0.98;0.71
26;2017_09_01_15:52:41;SVC;poly;3000;10.0;100;684.0;680.0;294.0;291.0;72.0;281.0;10.0;222.0;60.34;20.98;60.53;19.821;0.24;0.03;0.88;0.24;0.38;0.97;0.76;0.56;0.97;0.71
27;2017_09_01_15:52:18;SVC;poly;3000;10.0;100;675.0;689.0;303.0;282.0;80.0;277.0;5.0;223.0;61.03;23.99;62.31;16.811;0.26;0.02;0.94;0.26;0.41;0.98;0.74;0.55;0.98;0.7
28;2017_09_01_15:51:59;SVC;poly;3000;10.0;100;672.0;692.0;306.0;279.0;84.0;272.0;7.0;222.0;60.85;24.12;62.47;16.509;0.27;0.03;0.92;0.27;0.42;0.97;0.73;0.55;0.97;0.7
29;2017_09_01_15:51:40;SVC;poly;3000;10.0;100;667.0;697.0;311.0;274.0;78.0;270.0;4.0;233.0;59.49;22.5;61.81;17.212;0.25;0.01;0.95;0.25;0.4;0.99;0.75;0.54;0.99;0.7
30;2017_09_01_15:51:20;SVC;poly;3000;1.0;100;686.0;678.0;292.0;293.0;83.0;286.0;7.0;209.0;63.08;26.07;63.02;20.174;0.28;0.02;0.92;0.28;0.43;0.98;0.72;0.58;0.98;0.73
31;2017_09_01_15:50:55;SVC;poly;3000;1.0;100;690.0;674.0;288.0;297.0;72.0;291.0;6.0;216.0;62.05;23.24;61.49;23.51;0.25;0.02;0.92;0.25;0.39;0.98;0.75;0.57;0.98;0.72
32;2017_09_01_15:50:29;SVC;poly;3000;1.0;100;684.0;680.0;294.0;291.0;133.0;279.0;12.0;161.0;70.43;41.01;70.56;14.448;0.45;0.04;0.92;0.45;0.6;0.96;0.55;0.63;0.96;0.76
33;2017_09_01_15:50:13;SVC;poly;3000;1.0;100;673.0;691.0;305.0;280.0;80.0;274.0;6.0;225.0;60.51;23.34;62.04;14.013;0.26;0.02;0.93;0.26;0.41;0.98;0.74;0.55;0.98;0.7
34;2017_09_01_15:49:56;SVC;poly;3000;1.0;100;695.0;669.0;283.0;302.0;87.0;294.0;8.0;196.0;65.13;28.69;64.05;14.002;0.31;0.03;0.92;0.31;0.46;0.97;0.69;0.6;0.97;0.74
35;2017_09_01_15:49:40;SVC;poly;3000;1.0;100;677.0;687.0;301.0;284.0;85.0;280.0;4.0;216.0;62.39;26.28;63.42;19.139;0.28;0.01;0.96;0.28;0.43;0.99;0.72;0.56;0.99;0.72
36;2017_09_01_15:49:17;SVC;poly;3000;1.0;100;665.0;699.0;313.0;272.0;103.0;262.0;10.0;210.0;62.39;27.89;64.62;26.674;0.33;0.04;0.91;0.33;0.48;0.96;0.67;0.56;0.96;0.71
37;2017_09_01_15:48:47;SVC;poly;3000;1.0;100;674.0;690.0;304.0;281.0;92.0;276.0;5.0;212.0;62.91;27.71;64.24;19.507;0.3;0.02;0.95;0.3;0.46;0.98;0.7;0.57;0.98;0.72
38;2017_09_01_15:48:24;SVC;poly;3000;1.0;100;692.0;672.0;286.0;299.0;75.0;290.0;9.0;211.0;62.39;23.58;61.61;20.252;0.26;0.03;0.89;0.26;0.4;0.97;0.74;0.58;0.97;0.73
39;2017_09_01_15:48:01;SVC;poly;3000;1.0;100;689.0;675.0;289.0;296.0;87.0;288.0;8.0;202.0;64.1;27.62;63.7;18.641;0.3;0.03;0.92;0.3;0.45;0.97;0.7;0.59;0.97;0.73
40;2017_09_01_15:47:40;SVC;poly;3000;10.0;10;701.0;663.0;277.0;308.0;82.0;297.0;11.0;195.0;64.79;26.93;63.02;18.745;0.3;0.04;0.88;0.3;0.45;0.96;0.7;0.6;0.96;0.74
41;2017_09_01_15:47:18;SVC;poly;3000;10.0;10;674.0;690.0;304.0;281.0;79.0;274.0;7.0;225.0;60.34;22.83;61.75;19.371;0.26;0.02;0.92;0.26;0.41;0.98;0.74;0.55;0.98;0.7
42;2017_09_01_15:46:56;SVC;poly;3000;10.0;10;677.0;687.0;301.0;284.0;80.0;280.0;4.0;221.0;61.54;24.64;62.58;18.668;0.27;0.01;0.95;0.27;0.42;0.99;0.73;0.56;0.99;0.72
43;2017_09_01_15:46:35;SVC;poly;3000;10.0;10;971.0;951.0;409.0;416.0;153.0;405.0;11.0;256.0;67.64;34.94;67.38;31.928;0.37;0.03;0.93;0.37;0.53;0.97;0.63;0.61;0.97;0.75
44;2017_09_01_15:45:59;SVC;poly;3000;10.0;10;967.0;955.0;413.0;412.0;172.0;393.0;19.0;241.0;68.48;37.01;68.52;31.355;0.42;0.05;0.9;0.42;0.57;0.95;0.58;0.62;0.95;0.75
45;2017_09_01_15:45:24;SVC;poly;3000;10.0;10;957.0;965.0;423.0;402.0;152.0;378.0;24.0;271.0;64.24;29.51;64.98;26.579;0.36;0.06;0.86;0.36;0.51;0.94;0.64;0.58;0.94;0.72
46;2017_09_01_15:44:54;SVC;poly;3000;10.0;10;959.0;963.0;421.0;404.0;156.0;393.0;11.0;265.0;66.55;33.9;67.17;24.39;0.37;0.03;0.93;0.37;0.53;0.97;0.63;0.6;0.97;0.74
47;2017_09_01_15:44:26;SVC;poly;3000;10.0;10;959.0;963.0;421.0;404.0;151.0;388.0;16.0;270.0;65.33;31.51;65.95;22.945;0.36;0.04;0.9;0.36;0.51;0.96;0.64;0.59;0.96;0.73
48;2017_09_01_15:44:00;SVC;poly;3000;10.0;10;946.0;976.0;434.0;391.0;172.0;370.0;21.0;262.0;65.7;33.25;67.13;21.975;0.4;0.05;0.89;0.4;0.55;0.95;0.6;0.59;0.95;0.73
49;2017_09_01_15:43:35;SVC;poly;3000;10.0;10;950.0;972.0;430.0;395.0;160.0;371.0;24.0;270.0;64.36;30.36;65.57;21.826;0.37;0.06;0.87;0.37;0.52;0.94;0.63;0.58;0.94;0.72
