;time_stamp;Name;Kernel;feature_cnt;type;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_09_11_17:43:06;LogisticRegression;;1000;bag_of_ngrams_2_5;677;683;301;283;197.0;254.0;29.0;104.0;77.23;54.77;77.6;3.197;0.65;0.1;0.87;0.65;0.74;0.9;0.35;0.71;0.9;0.79
1;2017_09_11_17:43:16;NaiveBayes;;1000;bag_of_ngrams_2_5;677;683;301;283;132.0;275.0;8.0;169.0;69.69;40.34;70.51;10.51;0.44;0.03;0.94;0.44;0.6;0.97;0.56;0.62;0.97;0.76
2;2017_09_11_17:43:19;MultinomialNB;;1000;bag_of_ngrams_2_5;677;683;301;283;177.0;263.0;20.0;124.0;75.34;51.17;75.87;3.106;0.59;0.07;0.9;0.59;0.71;0.93;0.41;0.68;0.93;0.79
3;2017_09_11_17:43:23;BernoulliNB;;1000;bag_of_ngrams_2_5;677;683;301;283;114.0;275.0;8.0;187.0;66.61;34.4;67.52;3.257;0.38;0.03;0.93;0.38;0.54;0.97;0.62;0.6;0.97;0.74
4;2017_09_11_17:43:27;SVC;linear;1000;bag_of_ngrams_2_5;677;683;301;283;180.0;253.0;30.0;121.0;74.14;48.73;74.6;4.126;0.6;0.11;0.86;0.6;0.71;0.89;0.4;0.68;0.89;0.77
5;2017_09_11_17:43:31;SVC;poly;1000;bag_of_ngrams_2_5;677;683;301;283;143.0;260.0;23.0;158.0;69.01;38.83;69.69;4.162;0.48;0.08;0.86;0.48;0.62;0.92;0.52;0.62;0.92;0.74
6;2017_09_11_17:43:37;SVC;rbf;1000;bag_of_ngrams_2_5;677;683;301;283;171.0;257.0;26.0;130.0;73.29;47.11;73.81;5.674;0.57;0.09;0.87;0.57;0.69;0.91;0.43;0.66;0.91;0.77
7;2017_09_11_17:43:41;SVC;sigmoid;1000;bag_of_ngrams_2_5;677;683;301;283;198.0;242.0;41.0;103.0;75.34;50.96;75.65;4.073;0.66;0.14;0.83;0.66;0.74;0.86;0.34;0.7;0.86;0.77
8;2017_09_11_17:43:44;SGD;;1000;bag_of_ngrams_2_5;677;683;301;283;199.0;245.0;38.0;102.0;76.03;52.33;76.34;3.116;0.66;0.13;0.84;0.66;0.74;0.87;0.34;0.71;0.87;0.78
9;2017_09_11_17:43:50;MLP;;1000;bag_of_ngrams_2_5;677;683;301;283;200.0;243.0;40.0;101.0;75.86;51.98;76.16;5.739;0.66;0.14;0.83;0.66;0.74;0.86;0.34;0.71;0.86;0.78
10;2017_09_11_17:45:05;RandomForest;;1000;bag_of_ngrams_2_5;677;683;301;283;191.0;252.0;31.0;110.0;75.86;52.07;76.25;75.005;0.63;0.11;0.86;0.63;0.73;0.89;0.37;0.7;0.89;0.78
11;2017_09_11_17:45:12;AdaBoost;;1000;bag_of_ngrams_2_5;677;683;301;283;94.0;268.0;15.0;207.0;61.99;25.41;62.96;6.828;0.31;0.05;0.86;0.31;0.46;0.95;0.69;0.56;0.95;0.7
12;2017_09_11_17:50:22;Vote;;1000;bag_of_ngrams_2_5;677;683;301;283;183.0;258.0;25.0;118.0;75.51;51.46;75.98;310.702;0.61;0.09;0.88;0.61;0.72;0.91;0.39;0.69;0.91;0.78
13;2017_09_11_17:35:54;LogisticRegression;;500;bag_of_ngrams_2_5;675;685;303;281;175.0;259.0;22.0;128.0;74.32;49.25;74.96;1.68;0.58;0.08;0.89;0.58;0.7;0.92;0.42;0.67;0.92;0.78
14;2017_09_11_17:35:59;NaiveBayes;;500;bag_of_ngrams_2_5;675;685;303;281;141.0;276.0;5.0;162.0;71.4;43.87;72.38;5.246;0.47;0.02;0.97;0.47;0.63;0.98;0.53;0.63;0.98;0.77
15;2017_09_11_17:36:01;MultinomialNB;;500;bag_of_ngrams_2_5;675;685;303;281;150.0;273.0;8.0;153.0;72.43;45.8;73.33;1.665;0.5;0.03;0.95;0.5;0.66;0.97;0.5;0.64;0.97;0.77
16;2017_09_11_17:36:02;BernoulliNB;;500;bag_of_ngrams_2_5;675;685;303;281;122.0;278.0;3.0;181.0;68.49;38.32;69.6;1.745;0.4;0.01;0.98;0.4;0.57;0.99;0.6;0.61;0.99;0.75
17;2017_09_11_17:36:04;SVC;linear;500;bag_of_ngrams_2_5;675;685;303;281;162.0;263.0;18.0;141.0;72.77;46.32;73.53;2.125;0.53;0.06;0.9;0.53;0.67;0.94;0.47;0.65;0.94;0.77
18;2017_09_11_17:36:07;SVC;poly;500;bag_of_ngrams_2_5;675;685;303;281;152.0;260.0;21.0;151.0;70.55;41.99;71.35;2.135;0.5;0.07;0.88;0.5;0.64;0.93;0.5;0.63;0.93;0.75
19;2017_09_11_17:36:10;SVC;rbf;500;bag_of_ngrams_2_5;675;685;303;281;145.0;262.0;19.0;158.0;69.69;40.37;70.55;2.937;0.48;0.07;0.88;0.48;0.62;0.93;0.52;0.62;0.93;0.74
20;2017_09_11_17:36:12;SVC;sigmoid;500;bag_of_ngrams_2_5;675;685;303;281;152.0;267.0;14.0;151.0;71.75;44.4;72.59;2.062;0.5;0.05;0.92;0.5;0.65;0.95;0.5;0.64;0.95;0.76
21;2017_09_11_17:36:13;SGD;;500;bag_of_ngrams_2_5;675;685;303;281;182.0;245.0;36.0;121.0;73.12;46.74;73.63;1.61;0.6;0.13;0.83;0.6;0.7;0.87;0.4;0.67;0.87;0.76
22;2017_09_11_17:36:16;MLP;;500;bag_of_ngrams_2_5;675;685;303;281;178.0;257.0;24.0;125.0;74.49;49.56;75.1;2.968;0.59;0.09;0.88;0.59;0.71;0.91;0.41;0.67;0.91;0.77
23;2017_09_11_17:37:30;RandomForest;;500;bag_of_ngrams_2_5;675;685;303;281;181.0;250.0;31.0;122.0;73.8;48.14;74.35;73.369;0.6;0.11;0.85;0.6;0.7;0.89;0.4;0.67;0.89;0.76
24;2017_09_11_17:37:35;AdaBoost;;500;bag_of_ngrams_2_5;675;685;303;281;109.0;273.0;8.0;194.0;65.41;32.35;66.56;5.023;0.36;0.03;0.93;0.36;0.52;0.97;0.64;0.58;0.97;0.73
