;num_stop_words;label;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;emotji_sent;has_pronoun;count_upper;has_hashtag;retweet_count;urls_wiki;urls_moz;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;msg_p_day
count;12116.0;12102;12116;12116.0;12116.0;12116;12116;12116;12116.0;12116;12116;12116.0;12116;12116.0;12116;12116;12116.0;12116.0;12116.0;12116.0;12116.0;12116.0;12116;12116;12116;12116.0
unique;;2;2;;;2;2;2;;2;2;;2;;2;2;;;;;;;2;1;2;
top;;spam;False;;;False;False;False;;True;False;;False;;True;False;;;;;;;False;True;True;
freq;;10726;11426;;;11182;9999;11463;;12088;8497;;6898;;6555;12006;;;;;;;11260;12116;8860;
mean;5.230191482337405;;;115.77756685374712;8.961125784087157;;;;0.007694088100740461;;;0.12731999009574116;;76.95964014526247;;;0.4015351601188511;0.9284252228458236;1762.2728623308024;127956.63362495873;111084.699158138;8473.757593265103;;;;88.22547697259822
std;2.8736064785604363;;;26.16031962650423;3.1073075672224326;;;;0.06241607559927457;;;0.08005214066341768;;1013.4606100033672;;;0.4902290389282183;0.1395027882161882;1013.4756411832208;315018.94128443615;1562658.572909318;26517.06452865325;;;;226.79312904401766
min;0.0;;;6.0;0.0;;;;0.0;;;0.0;;0.0;;;0.0;0.6;80.0;1.0;0.0;0.0;;;;0.001
25%;3.0;;;101.0;7.0;;;;0.0;;;0.079;;0.0;;;0.0;1.0;904.0;4957.0;381.0;211.0;;;;3.5295
50%;5.0;;;125.0;9.0;;;;0.0;;;0.114;;0.0;;;0.0;1.0;1732.0;21970.0;1888.5;1104.0;;;;14.702
75%;7.0;;;137.0;11.0;;;;0.0;;;0.155;;3.0;;;1.0;1.0;2673.25;91742.25;11243.0;4589.0;;;;67.32575
max;20.0;;;160.0;21.0;;;;0.7143333333333333;;;0.875;;48601.0;;;1.0;1.0;4091.0;2871995.0;101849293.0;521442.0;;;;2172.059
