;words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854307777820450820;['Alibaba', 'Plans', 'Dominate', 'U.S.', 'Entertainment', 'Industry', '-', 'https', ':', '//t.co/KKxSua6tL8'];How Alibaba Plans to Dominate the U.S. Entertainment Industry  - ;False;88;10;False;False;False;0.0;False;0.13636363636363635;False;False;neg;0.8;3303;4086;809;169;False;True;True;0.0
854307831541092352;"['Esports', 'becoming', 'official', 'Olympic', 'sport', '–', 'CNET', '-', 'Alibaba', ""'s"", 'sports', 'arm', 'collaborates', 'Olympic', 'Council', '...', 'https', ':', '//t.co/h3VcK7ND9x']";Esports is becoming an official Olympic sport – CNET - Alibaba's sports arm collaborates with Olympic Council o... ;False;138;19;False;False;False;0.0;False;0.09420289855072464;False;False;pos;0.6;502;3300;1155;1042;False;True;True;0.0
854308665024692224;['Analyst', 'Activity', '–', 'Benchmark', 'Co.', 'Initiates', 'Coverage', 'Alibaba', 'Group', 'Holding', 'Ltd', '(', 'NYSE', ':', 'BABA', ')', 'Buy', 'https', ':', '//t.co/PrGbxbQf9B', '$', 'BABA'];Analyst Activity – Benchmark Co. Initiates Coverage On Alibaba Group Holding Ltd (NYSE:BABA) With a Buy  $BABA;False;133;22;False;False;False;0.0;False;0.21804511278195488;False;False;neg;0.8;1634;46223;33013;732;False;True;False;8.0
854308943782445056;['Asian', 'Games', 'Add', 'Esports', 'Partnership', 'Chinese', 'Giant', 'Alibaba', 'https', ':', '//t.co/Y6jeyCBWQy'];Asian Games Add Esports in Partnership with Chinese Giant Alibaba  ;False;90;11;False;False;False;0.0;False;0.14444444444444443;False;False;neg;0.8;692;1348;1246;185;False;True;True;1.0
854309920975593474;['Archive', ':', '#', 'Alibaba', 'Hires', 'Goldman', 'Sachs', '#', 'Veteran', 'Grow', '#', 'International', '#', 'Business', 'https', ':', '//t.co/MxzXybzK3z'];Archive: #Alibaba Hires Goldman Sachs #Veteran to Grow Its #International #Business ;False;107;17;False;False;False;0.0;False;0.12149532710280374;True;False;neg;0.8;630;166428;1108;50;False;True;True;0.0
854310507205054464;['Purchase', 'Original', ',', 'Value', 'money', 'products', ':', 'Follow', 'link', '#', 'alibaba', 'https', ':', '//t.co/3NpgDAkVXc'];"Purchase Original, Value for money products: Follow the link #alibaba 
";False;94;14;False;False;False;0.0;False;0.09574468085106383;True;False;neg;0.8;2418;1418;1829;3424;False;True;True;0.0
854310863091716096;['Alibaba’s', 'Ant', 'Financial', 'may', 'bidding', 'war', 'MoneyGram', 'upping', 'offer', '$', '1.2B', '|', 'TechCrunch', 'https', ':', '//t.co/uNTxFsrn5R'];Alibaba’s Ant Financial may have won the bidding war for MoneyGram after upping its offer to $1.2B | TechCrunch ;False;135;16;False;False;False;0.0;False;0.08888888888888889;False;False;neg;1.0;1202;1390;398;769;False;True;True;0.0
854310905236131841;['Asian', 'Games', 'Adding', 'Esports', ',', 'Partnership', 'Chinese', 'E-Commerce', 'Company', 'Alibaba', 'https', ':', '//t.co/4zUcNjJAHJ'];The Asian Games Are Adding Esports, in Partnership with Chinese E-Commerce Company Alibaba ;False;114;13;False;False;False;0.0;False;0.15789473684210525;False;False;neg;0.8;2543;73583;3830;2908;False;True;False;0.0
854311544754012160;"['Esports', 'becoming', 'official', 'Olympic', 'sport', '-', 'CNET', '-', 'Alibaba', ""'s"", 'sports', 'arm', 'collaborates', 'Olympic', 'Council', '...', 'https', ':', '//t.co/cGfuzndlqe']";Esports becoming an official Olympic sport - CNET - Alibaba's sports arm collaborates with Olympic Council of A... ;False;138;19;False;False;False;0.0;False;0.07971014492753623;False;False;pos;1.0;2083;20400;3268;3485;False;True;False;0.0
854311560998789121;['Alibaba’s', 'Ant', 'Financial', 'develop', 'services', 'Indonesia', 'global', 'expansion', 'continues', 'https', ':', '//t.co/F0Z0WDETjf'];Alibaba’s Ant Financial to develop services in Indonesia as global expansion continues ;False;110;12;False;False;False;0.0;False;0.09090909090909091;False;False;neg;0.8;1549;5336;14283;218;False;True;True;0.0
854312359690719232;"['Alibaba', ""'s"", 'Alipay', 'ePass', 'offers', 'payment', 'solution', 'intl', '.', 'brands', 'sell', 'directly', 'Chinese', 'consumers', ':', 'https', ':', '//t.co/gHR3JwsHNJ']";Alibaba's Alipay ePass offers a payment solution for intl. brands to sell directly to Chinese consumers: ;False;128;18;False;False;False;0.0;False;0.078125;False;False;neg;0.8;2946;30298;14666;4018;False;True;True;0.0
854312413511995393;['#', 'Alibaba', 'patient', 'Cunning-Brilliant', 'Strategy', 'set', 'make', 'Powerhouse', 'Asia', 'https', ':', '//t.co/tGFwQ1635m'];#Alibaba is patient and Cunning-Brilliant Strategy set to make it Powerhouse in Asia ;True;108;12;False;False;False;0.0;True;0.08333333333333333;True;False;neg;0.8;54;70692;7420;6767;False;True;False;
854312658824245248;['#', 'Alibaba', 'patient', 'Cunning-Brilliant', 'Strategy', 'set', 'make', 'Powerhouse', 'Asia', 'https', ':', '//t.co/QKhDEYwPja'];#Alibaba is patient and Cunning-Brilliant Strategy set to make it Powerhouse in Asia ;True;108;12;False;False;False;0.0;True;0.1111111111111111;True;False;neg;0.8;163;280457;23610;19691;False;True;True;
854312862231035906;['Kuehne', '+', 'Nagel', 'announce', 'memorandum', 'understanding', 'https', ':', '//t.co/U71jLtoXzl', '#', 'logisticsasia', 'https', ':', '//t.co/ryJZ8pyW65'];Kuehne + Nagel announce a memorandum of understanding with  #logisticsasia ;False;121;14;False;False;False;0.0;False;0.06611570247933884;True;False;neg;1.0;811;82;86;136;False;True;True;0.0
854313402990198784;['Alibaba', 'Officials', 'visit', 'could', 'get', '$', '400', 'million', 'investment', 'Pakistan', 'https', ':', '//t.co/4pZeSbNZ9D', 'via', '@', 'techjuicepk'];Alibaba Officials visit could get $400 million investment to Pakistan  via @techjuicepk;False;110;16;False;False;False;0.0;False;0.07272727272727272;False;False;pos;1.0;2142;8285;169;13;False;True;False;0.0
854313626131234818;['#', 'Alibaba', 'set', 'bring', '#', 'ESports', '#', 'Asian', '#', 'Games', 'https', ':', '//t.co/f9yOJUNjOb'];"#Alibaba set to bring #ESports to #Asian #Games

 ";False;73;13;False;False;False;0.0;False;0.136986301369863;True;False;neg;0.8;104;526;520;319;False;True;False;0.0
854314356544241664;"['$', 'AAPL', 'Apple', ',', 'Netflix', 'PTs', 'Raised', ';', 'Dow', '&', 'amp', ';', 'apos', ';', 'McDonald', '&', 'amp', ';', 'apos', ';', 'Upgraded', ';', 'Alibaba', 'Buy', 'https', ':', '//t.co/qHNWeSzdR4']";"$AAPL Apple, Netflix PTs Raised; Dow&amp;apos;s McDonald&amp;apos;s Upgraded; Alibaba A Buy ";False;115;27;False;False;False;0.0;False;0.1826086956521739;False;False;pos;0.6;308;25603;150;27;False;True;True;0.0
854314378912448512;"['$', 'NFLX', '$', 'BABA', '$', 'AAPL', '$', 'DATA', '$', 'MGI', ':', 'Apple', ',', 'Netflix', 'PTs', 'Raised', ';', 'Dow’s', 'McDonald’s', 'Upgraded', ';', 'Alibaba', 'Buy', ':', 'https', ':', '//t.co/RqNvhFFXyx']";"$NFLX $BABA $AAPL $DATA $MGI:

Apple, Netflix PTs Raised; Dow’s McDonald’s Upgraded; Alibaba A Buy:

";False;124;27;False;False;False;0.0;False;0.2903225806451613;False;False;neg;0.8;899;382961;1238;6;False;False;False;0.0
854315144729329664;['Baofeng', 'BF-UV82', 'radio', '5watt/', '10watt', 'dual', 'band', 'radio', '.', 'Army', 'green', 'radio', 'Jungle', 'Adventure?journey', '...', '…', 'https', ':', '//t.co/UHmkrSgVvE'];"Baofeng BF-UV82 radio 5watt/ 10watt  dual band radio.
Army green radio for Jungle Adventure?journey...… ";False;127;19;False;False;False;0.0;False;0.10236220472440945;False;True;neg;1.0;35;15;6;6;False;True;False;0.0
854315628139827201;['Alibaba', 'Group', 'Holding', 'Ltd', '$', 'BABA', 'Position', 'Raised', 'UBS', 'Asset', 'Management', 'Americas', 'Inc.', 'https', ':', '//t.co/B3BkP2ANIk'];Alibaba Group Holding Ltd $BABA Position Raised by UBS Asset Management Americas Inc. ;False;109;16;False;False;False;0.0;False;0.21100917431192662;False;False;neg;0.8;1202;622336;1324;10;False;True;False;0.0
854316142965510144;['#', 'let', 'go', '!', '#', 'water', '#', 'slide', '#', 'summer', '#', 'water', '#', 'cityslide', ':', 'https', ':', '//t.co/V9nxpeRCty', '???', 'https', ':', '//t.co/t0BbMIUIZK'];"#let go !
#water #slide #summer  #water #cityslide 
more :
??? ";False;109;22;False;True;False;0.449;False;0.09174311926605505;True;False;pos;0.6;1036;152;24;222;False;True;True;0.0
854316153384050688;['Charming', 'color', 'Blue', 'baofeng', 'radio', ',', 'BF-UV82', 'dual', 'band', 'walkie', 'talkie', '.', 'vhf', 'uhf', ',5watt', 'pofung', 'walkie', 'talkie.…', 'https', ':', '//t.co/NAyLOpKuqP'];"Charming color Blue baofeng radio, BF-UV82 dual band walkie talkie.
vhf and uhf ,5watt pofung walkie talkie.… ";False;133;21;False;False;False;0.0;False;0.09022556390977443;False;True;neg;1.0;35;16;6;6;False;True;False;0.0
854317157282230272;"['Apple', ',', 'Netflix', 'PTs', 'Raised', ';', 'Dow', ""'s"", 'McDonald', ""'s"", 'Upgraded', ';', 'Alibaba', 'Buy', 'https', ':', '//t.co/Vh4zmUd5bp']";"Apple, Netflix PTs Raised; Dow's McDonald's Upgraded; Alibaba A Buy ";False;91;17;False;False;False;0.0;False;0.15384615384615385;False;False;neg;0.8;130;39101;24;0;False;False;False;0.0
854317704714608640;"['Alibaba', ""'s"", 'New', 'Retail', 'Integrates', 'E-Commerce', ',', 'Stores', ',', '&', 'amp', ';', 'Logistics', ':', 'Next', 'Gen', 'Retail', '?', 'https', ':', '//t.co/ZW7MbT9DPO']";"Alibaba's New Retail Integrates E-Commerce, Stores, &amp; Logistics: Is This The Next Gen Of Retail? ";True;124;21;True;False;False;0.0;False;0.1774193548387097;False;False;pos;0.6;1527;405;200;93;False;False;True;0.0
854318243183513600;['Alibaba', 'investing', '$', '145m', 'global', 'network', 'mobile', 'games', 'https', ':', '//t.co/ZYAVvSYFMP'];Alibaba investing $145m in global network for mobile games ;False;82;11;False;False;False;0.0;False;0.12195121951219512;False;False;neg;1.0;1672;1240;174;153;False;True;True;0.0
854318763121967104;"['China', ""'s"", 'Huawei', 'targets', 'Amazon', ',', 'Alibaba', 'public', 'cloud', 'service', 'push', 'https', ':', '//t.co/AKBSQPb5Ti']";"China's Huawei targets Amazon, Alibaba in public cloud service push

 ";False;93;14;False;False;False;0.0;False;0.11827956989247312;False;False;neg;1.0;2026;3773;334;863;False;True;True;0.0
