;words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
860018463896723457;"['know', ':', ""n't"", 'need', 'Kindle', 'read', 'e-books', '?', 'download', 'FREE', 'app', 'https', ':', '//t.co/ZJGPPIYLpA…', 'https', ':', '//t.co/NQ82kZLMD3']";"Did you know:  you don't need a Kindle to read my e-books?
You can download the FREE app on  ";False;140;17;True;False;False;0;True;0.15714285714285714;False;True;pos;0.6;1113;234338;27086;26047;False;True;True;1.0
860019225217425408;['Vetr', 'Inc.', 'Upgrades', 'https', ':', '//t.co/RveuMUDuNh', ',', 'Inc.', '$', 'AMZN', 'Buy', 'https', ':', '//t.co/ndKFEQlLXV'];Vetr Inc. Upgrades  Inc. $AMZN to Buy ;False;85;14;False;False;False;0;False;0.24705882352941178;False;False;neg;0.8;990;679883;1341;0;False;False;False;0.0
860019493392850944;"[""'The"", ""Fire'..Featured"", 'Poem', 'within', ':', 'Heart', 'Inspirations..Poetry', 'LadyP', 'https', ':', '//t.co/z2i3sFezcG', 'https', ':', '//t.co/elotcArz7Q']";'The Fire'..Featured Poem within: Heart Inspirations..Poetry by LadyP on  ;False;120;14;False;False;False;0;False;0.10833333333333334;False;True;neg;0.8;8;157;39;73;False;True;True;1.0
860020119585648640;"['TIL', 'https', ':', '//t.co/U1XJ88sZAf', ""n't"", 'use', 'account', 'system', 'https', ':', '//t.co/wWmpdPgu4I']";TIL that  doesn't use the same account system as ;False;95;11;False;False;False;0;False;0.11578947368421053;False;True;neg;1.0;3221;3010;72;388;False;True;False;0.0
860021215985119232;"['Blue', 'Magic', '900', 'Carpet', 'Stain', '&', 'amp', ';', 'Spot', 'Lifter', '–', '22', 'oz', '.', 'Aerosol', '$', '3.24', 'https', ':', '//t.co/0RSaHoASlG', '(', '$', '2.75', 'w/15', '%', '&', 'amp', ';', ')', 'https', ':', '//t.co/U23338wXcz']";"Blue Magic 900 Carpet Stain &amp; Spot Lifter – 22 oz. Aerosol Can $3.24  ($2.75 w/15% S&amp;S) ";False;142;32;False;False;False;0;False;0.1267605633802817;False;False;pos;0.6;2451;31919;420;48;False;True;True;0.0
860021443987251200;['Sorry', ',', 'hot', 'new', 'releases', 'available', 'category', '.', 'https', ':', '//t.co/QF5vp5Vmuy'];Sorry, there are no hot new releases available in this category. ;False;88;11;False;False;False;0;False;0.045454545454545456;False;True;pos;1.0;583;138495;6;0;False;True;False;0.0
860021557392846848;['https', ':', '//t.co/MaMFRamliO', ':', 'Guitar', 'Gentry', 'Seeks', ':', '@', 'kakicchysmusic', ':', 'MP3', 'Downloads', 'https', ':', '//t.co/0VPhFppXYo', '#', 'Amazon', '#', 'Prime']; While My Guitar Gentry Seeks: @kakicchysmusic: MP3 Downloads  #Amazon #Prime;False;124;20;False;False;False;0;False;0.16129032258064516;True;False;pos;1.0;592;14647;701;949;False;True;True;0.0
860023183025606656;['https', ':', '//t.co/afA05Zenan', ':', 'Buying', 'Choices', ':', 'Police', 'Security', 'Guard', 'Modular', 'Enforcement', 'Equipme', '...', 'https', ':', '//t.co/A82lBpweuc', 'via', '@', 'amazon']; Buying Choices: Police Security Guard Modular Enforcement Equipme...  via @amazon;False;129;20;False;False;False;0;False;0.09302325581395349;False;True;neg;0.6;412;11060;847;4864;False;True;False;0.0
860023201606189057;"['https', ':', '//t.co/iLLRQeRyLs', 'Associates', ':', 'web', ""'s"", 'popular', 'successful', 'Affiliate', 'Program', 'https', ':', '//t.co/KgZhnT72Ak']"; Associates: The web's most popular and successful Affiliate Program ;False;115;14;False;False;False;0;False;0.12173913043478261;False;False;pos;0.8;2825;9;9;36;False;False;False;0.0
860023233923473408;['https', ':', '//t.co/afA05Zenan', ':', 'Buying', 'Choices', ':', '40', 'Packs', 'Rabbit', 'Nipple', 'Water', 'Drinker', 'Waterer', 'Poul', '...', 'https', ':', '//t.co/xKDV1VRiiC', 'via', '@', 'amazon']; Buying Choices: 40 Packs Rabbit Nipple Water Drinker Waterer Poul...  via @amazon;False;129;22;False;False;False;0;False;0.13178294573643412;False;True;neg;0.6;412;11061;847;4864;False;True;False;0.0
