;words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854395806979424258;"['1935', '&', 'gt', ';', '1975', '#', 'greatestgeneration', 'made', 'USA', 'richer', 'reduced', 'inequality', '!', '#', 'fight4freedoms', 'https', ':', '//t.co/IRAVzJKtlE']";"1935 &gt;1975 the #greatestgeneration made USA richer AND reduced inequality! #fight4freedoms ";False;117;18;False;True;False;0.0;False;0.1111111111111111;True;True;pos;1.0;2315;173843;8848;868;True;True;True;2.0
854395812306092032;['Hey', '@', 'amazon', 'order', 'stating', 'would', '4/7', 'still', 'hasn’t', 'delivered', 'update', 'avail', 'Shipping', 'Info', '.', 'help', '?'];Hey @amazon an order stating it would be here by 4/7 still hasn’t been delivered and no update avail in Shipping Info. Can you help?;False;132;17;True;False;False;0.0;True;0.030303030303030304;False;False;neg;1.0;2750;41013;475;832;False;True;False;0.0
854395813891641344;"['Shit', 'ai', ""n't"", 'much', 'fun', 'since', 'Amazon', 'started', 'taxing']";Shit just ain't as much fun since Amazon started taxing;False;55;9;False;False;False;0.0;False;0.03636363636363636;False;False;neg;0.6;2779;278146;898;855;False;True;True;0.0
854395814495395841;"['@', 'tlidesign', 'Sorel', 'Joan', 'Arctic', 'Wedge', 'Mid', 'Boot', '-', 'Women', ""'s"", 'Elk', '7.5', 'sale', '$', '124.99', 'Amazon', '.', 'Product', 'page', ':', 'https', ':', '//t.co/rctvqg4XHz']";@tlidesign Sorel Joan Of Arctic Wedge Mid Boot - Women's Elk 7.5 is now on sale for $124.99 at Amazon. Product page: ;False;140;24;False;False;False;0.0;False;0.09285714285714286;False;False;pos;1.0;2813;1069408;4251;8;False;True;True;0.0
860052609532669953;['fun', 'drone', 'market', 'today', '!', 'https', ':', '//t.co/PxBzV2hK5J', 'https', ':', '//t.co/KqLEVti4WL'];"This is the most fun drone on the market today! 

 ";False;97;11;False;True;False;0.0;False;0.12371134020618557;False;True;pos;1.0;628;243077;5231;5760;False;True;True;0.0
860052610442604545;"['@', 'mert_dogan_', 'Reef', 'Men', ""'s"", 'Draftsmen', 'Sandal', ',', 'Chocolate,13', 'US', 'sale', '$', '46.12', 'Amazon', '.', 'Product', 'page', ':', 'https', ':', '//t.co/FeGooRsKpp']";@mert_dogan_ Reef Men's Draftsmen Sandal,Chocolate,13 M US is now on sale for $46.12 at Amazon. Product page: ;False;133;21;False;False;False;0.0;False;0.10526315789473684;False;False;pos;1.0;2813;1083339;4254;8;False;True;True;0.0
860052614372839424;['Real', 'cooking', ',', 'matters', '.', 'today', '.', 'Syria', ':', 'Recipes', 'Home', 'Itab', 'Azzam', 'https', ':', '//t.co/OvtrOHbWlg', 'via', '@', 'AmazonUK'];Real cooking, when it matters. Out today. Syria: Recipes from Home by Itab Azzam  via @AmazonUK;False;118;19;False;False;False;0.0;True;0.11864406779661017;False;True;pos;1.0;2709;2545;6514;1191;False;True;True;1.0
860052619674431489;['Sexy', 'glamour', ',', 'romantic', 'encounter', '!', 'Lucky', 'you.Awesome', 'spice', '!', 'https', ':', '//t.co/ygpXG6M40m', '#', 'giveaway'];Sexy glamour, is a romantic encounter! Lucky as you.Awesome spice!  #giveaway;True;100;15;False;True;True;0.0;False;0.06;True;False;pos;1.0;399;760;6;456;False;True;False;0.0
860052626225987585;['Lightweight', 'Tent', 'Camping', 'https', ':', '//t.co/ki91ZBA0xO', 'https', ':', '//t.co/Hk1DYHT8AZ', '#', 'giveaway'];Lightweight Tent for Camping   #giveaway;True;86;11;False;False;False;0.0;False;0.16279069767441862;True;False;pos;1.0;680;1997;464;895;False;True;False;0.0
860052627815530496;['Awesome', 'Deal', 'Grill', 'Master', 'Gloves', '(', 'Grey', ')', '!', '!', '!', 'https', ':', '//t.co/z83CLTY9aE', 'Use', 'GET50GGL', 'Save', '50', '%', '#', 'amazingdeals', 'https', ':', '//t.co/xvGiGYILy3', '#', 'giveaway'];"Awesome Deal on Grill Master Gloves (Grey)!!! 
Use GET50GGL Save 50% #amazingdeals  #giveaway";True;139;26;False;True;True;0.0;False;0.17266187050359713;True;False;neg;1.0;111;20;0;28;False;False;False;0.0
860052635155439616;['Enter', 'win', '$', '150', 'Amazon', 'Paypal', 'Cash', '!', '.', 'https', ':', '//t.co/ZBSTlKsaXr'];Enter to win $150 Amazon or Paypal Cash!  I just did. ;False;77;12;False;True;False;0.0;True;0.14285714285714285;False;False;neg;1.0;1668;19636;400;2312;False;True;False;0.0
860052638800297984;['Amazon’s', 'massive', 'AWS', 'outage', 'caused', 'human', 'error', '?', 'quite', 'epic', 'sushi', 'sashimi'];Amazon’s massive AWS outage was caused by human error ? This was quite the epic sushi and sashimi;False;97;12;False;False;False;0.018;False;0.05154639175257732;False;False;neg;1.0;926;493;111;3;False;True;True;0.0
860052642537631744;['#', '99cents', 'HEARTS', '#', 'HANUKKAH', '#', 'Jewish', '#', 'Romance', '?', 'https', ':', '//t.co/2yXOCbok7a', '?', 'https', ':', '//t.co/O6jsW2CnlE', 'https', ':', '//t.co/bqxV8VXypV'];"#99cents HEARTS OF #HANUKKAH
#Jewish #Romance
? 
? 
";False;121;20;False;False;False;0.0;False;0.2396694214876033;True;True;neg;1.0;2666;481320;72565;66259;False;True;True;4.0
860052643250655232;['#', 'Amazon', 'boss', 'Jeff', 'Bezos', 'wants', 'start', 'shipping', 'packages', 'Moon', 'https', ':', '//t.co/9ePe3b1yD2', 'via', '@', 'Verge', 'https', ':', '//t.co/evQCth9X06'];#Amazon boss Jeff Bezos wants to start shipping packages to the Moon  via @Verge ;False;127;19;False;False;False;0.0;False;0.07874015748031496;True;False;pos;1.0;2912;5262;10721;292;False;True;True;0.0
860052643854635008;['Search', 'Products', 'Amazon', '{', 'https', ':', '//t.co/xhlkPniW0h', '}', '#', 'onlineshopping', '#', 'shoponline', '#', 'RedCarpet', 'https', ':', '//t.co/nXR0IyH9vR'];Search For Your Products In Amazon {  } #onlineshopping #shoponline #RedCarpet ;False;125;17;False;False;False;0.0;False;0.12;True;False;neg;1.0;672;17551;4563;1465;False;True;True;0.0
860052645628715008;['Winning', 'Post', '8', '2017', '-', 'Windows', 'https', ':', '//t.co/AOcWxh9oLs'];Winning Post 8 2017 - Windows ;False;53;9;False;False;False;0.0;False;0.1320754716981132;False;True;neg;1.0;1915;27310;491;374;False;True;False;0.0
860052646568316929;['GTA', 'IV', 'Cheats', 'app', '#', 'kindle', '#', 'Fire', '#', 'FireHD', 'https', ':', '//t.co/cOuOdThNxK', '#', 'Amazon', '.', 'May', '04', ',', '2017', '09:45AM'];GTA IV Cheats app for #kindle #Fire and #FireHD  #Amazon . May 04, 2017 at 09:45AM;False;105;21;False;False;False;0.0;False;0.18095238095238095;True;False;pos;0.6;1471;141852;80;1;False;False;False;0.0
860053235293241344;['saw', 'Amazon', ':', 'play', '.', 'Baby', 'Flap', 'Sun', 'Protection', 'Swim', 'Hat', ',', '...', 'play', '.', '$', '11.99', 'https', ':', '//t.co/hntaSMrRCZ', 'via', '@', 'amazon'];Just saw this on Amazon: i play. Baby Flap Sun Protection Swim Hat, ... by i play. for $11.99  via @amazon;False;129;23;False;False;False;0.0;False;0.10077519379844961;False;False;neg;0.8;708;400;24;197;False;True;False;0.0
860053855857278976;['saw', 'Amazon', ':', 'Mario', 'Kart', '8', 'Deluxe', '-', 'Nintendo', 'Switch', 'Nintendo', '$', '59.88', 'https', ':', '//t.co/xsAXWvIjB7', 'via', '@', 'amazon'];Just saw this on Amazon: Mario Kart 8 Deluxe - Nintendo Switch by Nintendo for $59.88  via @amazon;False;121;19;False;False;False;0.0;False;0.10743801652892562;False;False;pos;1.0;708;401;24;197;False;True;False;0.0
860053856163647488;['Sold', '!', 'Boy', 'Ship', 'War', '-', '#', 'WWII', '!', '#', 'Best-seller', 'rank', 'dropped', ':', '862', '#', '20th', 'Century', '.', 'Amazing', '!', 'https', ':', '//t.co/zXiM6d3mfH', '!'];Sold again! A Boy A Ship and A War - #WWII! #Best-seller rank just dropped to: 862 for #20th Century. Amazing! ;False;135;25;False;True;True;0.0;False;0.1259259259259259;True;True;pos;1.0;2280;171011;1536;1515;False;True;True;0.0
860053862601728000;"['every', 'rock', 'star', ""'s"", 'one', 'girl', 'can’t', 'forget', '.', '#', 'KU', '?Amazon', 'Universal', 'Buy', 'Link?…', 'https', ':', '//t.co/a7vB633TbX']";"For every rock star there's the one girl they can’t forget. #KU 
?Amazon Universal Buy Link?… ";False;117;18;False;False;False;0.0;True;0.08547008547008547;True;True;neg;0.8;214;32226;1750;2246;False;True;True;0.0
860053868784136192;['@', 'DoctorPete', 'https', ':', '//t.co/XmC5g3moQm', 'Small', 'Town', 'Sins', 'available', '-', 'FREE', 'Kindle', 'Unlimited', '!', '#', 'paranormal…', 'https', ':', '//t.co/rH8Ga47TCz'];"@DoctorPete  Small Town Sins is Now available - FREE on Kindle Unlimited!
#paranormal… ";False;133;19;False;True;False;0.0;False;0.14285714285714285;True;True;pos;0.8;283;22125;4334;5001;False;True;True;0.0
