;words;num_stop_words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;retweet_count;urls_wiki;urls_moz;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;msg_p_day;label
883266298611982337;['hedgehog', 'storybook', 'catman', 'notebooks', 'via', 'amazon', 'kidsbirthday', 'partyfavors', 'hedgehog', 'writing', 'schoolbooks'];3;My Hedgehog Storybook by catman notebooks  via @amazon #kidsbirthday #partyfavors #hedgehog #writing #schoolbooks;False;136;11;False;False;False;0.0;False;0.051;True;0.0;True;False;3129;1461;729;1103;False;True;True;0.467;2
862293211234136066;['number', 'robots', 'working', 'amazon', 'jonerlichman'];4;Number of robots working in Amazon warehouses:  2016: 45,000 2015: 30,000 2014: 15,000 2013: 1,000 — @JonErlichman ;False;138;5;False;False;False;0.0;False;0.051;False;154.0;False;False;2377;322630;213735;400;True;True;True;135.73;1
869140837145489409;['fantasy', 'lkkelley1the', 'white', 'wolf', 'prophecyfantastically', 'supernatural'];2;TIME-TRAVEL #FANTASY @LKKelley1 THE WHITE WOLF PROPHECY Fantastically Supernatural #ASMSG  ;False;137;6;False;False;False;0.0;False;0.423;True;7.0;True;False;1213;849357;132492;124255;False;True;True;700.212;2
879790799805849600;['maybe', 'way', 'survive', 'world', 'gone', 'mad', 'embracing', 'horror', 'zombie', 'thriller', 'free', 'ku…'];9;Maybe the only way to survive a world gone mad is by embracing the madness. #horror #zombie #thriller #FREE on KU… ;False;138;12;False;False;False;0.0;False;0.094;True;116.0;True;False;583;181991;29604;25397;False;True;True;312.163;2
869137325749567490;['check', 'honey', 'puddle', 'honeypuddlesmut', 'questionable', 'morals', 'amp', 'filthy', 'imagination', 'makes', 'sexy', 'erotica'];5;"Check out: Honey Puddle @honeypuddlesmut questionable morals &amp; a filthy imagination which makes for sexy erotica. ";False;141;12;False;False;False;0.0;False;0.035;False;0.0;True;False;1239;524841;24711;12648;False;True;True;423.6;2
860784967957200896;['new', 'post', 'amazon', 'leak', 'exposes', 'echo', 'ai', 'device', 'touch', 'display', 'fireos'];3;New post: Amazon Leak Exposes Echo AI Device With Touch Display and FireOS ;False;98;11;False;False;False;0.0;False;0.184;False;0.0;False;False;2750;156605;196;0;False;True;True;56.947;1
879973926767603712;['amazon', 'bringing', 'deliveries', 'drone', 'uk', 'amazon', 'drones', 'doncasterisgreat', 'ittweetsuk'];7;Amazon are now bringing you deliveries by Drone in the UK         ! #Amazon #Drones #doncasterisgreat #ITTweetsUK;False;136;9;False;True;False;0.0;True;0.096;True;15.0;False;False;2428;862;1170;1598;False;True;True;0.355;1
868991549622931457;['amazon', 'readers', 'rate', 'higher', 'king’s', 'dark', 'tower', 'stephenking', 'thriller…'];5;Amazon readers rate it higher than King’s, The Dark Tower -  #stephenking #thriller… ;False;131;9;False;False;False;0.0;True;0.115;True;125.0;True;False;1863;86222;58942;49263;False;True;True;46.281;2
874983068309880833;['amazon', 'healthcare', 'accolade', 'unveils', 'ai', 'platform', 'app', 'personalize', 'healthcare', 'assistance'];5;The Amazon of healthcare? Accolade unveils AI platform and app that personalize healthcare assistance  ;False;126;10;True;False;False;0.0;False;0.056;False;2.0;False;False;2728;24205;9511;3331;False;True;True;8.873;1
869123690797166592;['various', 'story', 'lines', 'twist', 'turn', 'converging', 'amazon', 'usa', 'review', 'thriller', 'iartg'];5;'Weaves through various story lines which twist and turn before converging.' Amazon USA review.   #thriller  #IARTG;False;138;11;False;False;False;0.0;False;0.087;True;6.0;False;False;1381;409152;47737;41554;False;True;True;296.272;2
