;name;place_name;promoted_content;query;tweet_volume;url
0;#Montreal;Montreal;;%23Montreal;;http://twitter.com/search?q=%23Montreal
1;#NationalFrenchFryDay;Montreal;;%23NationalFrenchFryDay;16476;http://twitter.com/search?q=%23NationalFrenchFryDay
2;Liu Xiaobo;Montreal;;%22Liu+Xiaobo%22;39543;http://twitter.com/search?q=%22Liu+Xiaobo%22
3;#MyAgeInAPhrase;Montreal;;%23MyAgeInAPhrase;;http://twitter.com/search?q=%23MyAgeInAPhrase
4;Mike Myers;Montreal;;%22Mike+Myers%22;;http://twitter.com/search?q=%22Mike+Myers%22
5;#Polaris2017;Montreal;;%23Polaris2017;;http://twitter.com/search?q=%23Polaris2017
6;Supreme Court;Montreal;;%22Supreme+Court%22;38208;http://twitter.com/search?q=%22Supreme+Court%22
7;President Carter;Montreal;;%22President+Carter%22;;http://twitter.com/search?q=%22President+Carter%22
8;#ThursdayThoughts;Montreal;;%23ThursdayThoughts;43000;http://twitter.com/search?q=%23ThursdayThoughts
9;Bonucci;Montreal;;Bonucci;73236;http://twitter.com/search?q=Bonucci
10;Albion Falls;Montreal;;%22Albion+Falls%22;;http://twitter.com/search?q=%22Albion+Falls%22
11;Oakville;Montreal;;Oakville;;http://twitter.com/search?q=Oakville
12;Julie Payette;Montreal;;%22Julie+Payette%22;;http://twitter.com/search?q=%22Julie+Payette%22
13;Bank of Canada;Montreal;;%22Bank+of+Canada%22;;http://twitter.com/search?q=%22Bank+of+Canada%22
14;Antarctica;Montreal;;Antarctica;128312;http://twitter.com/search?q=Antarctica
15;Kid Rock;Montreal;;%22Kid+Rock%22;82555;http://twitter.com/search?q=%22Kid+Rock%22
16;Roger Federer;Montreal;;%22Roger+Federer%22;39867;http://twitter.com/search?q=%22Roger+Federer%22
17;Andy Murray;Montreal;;%22Andy+Murray%22;69916;http://twitter.com/search?q=%22Andy+Murray%22
18;Lonzo;Montreal;;Lonzo;236172;http://twitter.com/search?q=Lonzo
19;Sooke Road;Montreal;;%22Sooke+Road%22;;http://twitter.com/search?q=%22Sooke+Road%22
20;Ager Hasan;Montreal;;%22Ager+Hasan%22;;http://twitter.com/search?q=%22Ager+Hasan%22
21;Aladdin;Montreal;;Aladdin;222420;http://twitter.com/search?q=Aladdin
22;Herbal Therapy;Montreal;;%22Herbal+Therapy%22;;http://twitter.com/search?q=%22Herbal+Therapy%22
23;Shia LaBeouf;Montreal;;%22Shia+LaBeouf%22;33463;http://twitter.com/search?q=%22Shia+LaBeouf%22
24;#Woman;Montreal;;%23Woman;;http://twitter.com/search?q=%23Woman
25;#USWomensOpen;Montreal;;%23USWomensOpen;;http://twitter.com/search?q=%23USWomensOpen
26;#shapena17;Montreal;;%23shapena17;;http://twitter.com/search?q=%23shapena17
27;#MayMacWorldTour;Montreal;;%23MayMacWorldTour;99544;http://twitter.com/search?q=%23MayMacWorldTour
28;#ESPYS;Montreal;;%23ESPYS;202301;http://twitter.com/search?q=%23ESPYS
29;#NetNeutrality;Montreal;;%23NetNeutrality;375633;http://twitter.com/search?q=%23NetNeutrality
30;#90sWereTheBestBecause;Montreal;;%2390sWereTheBestBecause;99928;http://twitter.com/search?q=%2390sWereTheBestBecause
31;#RichMovies;Montreal;;%23RichMovies;23629;http://twitter.com/search?q=%23RichMovies
32;#StartupFest;Montreal;;%23StartupFest;;http://twitter.com/search?q=%23StartupFest
33;#TeenChoice;Montreal;;%23TeenChoice;1112506;http://twitter.com/search?q=%23TeenChoice
34;#Suits;Montreal;;%23Suits;14134;http://twitter.com/search?q=%23Suits
35;#CanLitPit;Montreal;;%23CanLitPit;;http://twitter.com/search?q=%23CanLitPit
36;#BCwildfire;Montreal;;%23BCwildfire;;http://twitter.com/search?q=%23BCwildfire
37;#USMNT;Montreal;;%23USMNT;17524;http://twitter.com/search?q=%23USMNT
38;#BadMannersMovies;Montreal;;%23BadMannersMovies;;http://twitter.com/search?q=%23BadMannersMovies
39;#TrumpJr;Montreal;;%23TrumpJr;;http://twitter.com/search?q=%23TrumpJr
40;#4H4TheWorld;Montreal;;%234H4TheWorld;;http://twitter.com/search?q=%234H4TheWorld
41;#MMIWG;Montreal;;%23MMIWG;;http://twitter.com/search?q=%23MMIWG
42;#ndpldr;Montreal;;%23ndpldr;;http://twitter.com/search?q=%23ndpldr
43;#HotSummerInTheCity;Montreal;;%23HotSummerInTheCity;;http://twitter.com/search?q=%23HotSummerInTheCity
44;#IfOnlyPeopleWould;Montreal;;%23IfOnlyPeopleWould;14864;http://twitter.com/search?q=%23IfOnlyPeopleWould
45;#SeemsHotterThanItIs;Montreal;;%23SeemsHotterThanItIs;;http://twitter.com/search?q=%23SeemsHotterThanItIs
46;Julie Payette;Ottawa;;%22Julie+Payette%22;;http://twitter.com/search?q=%22Julie+Payette%22
47;#onpoli;Ottawa;;%23onpoli;;http://twitter.com/search?q=%23onpoli
48;#NetNeutrality;Ottawa;;%23NetNeutrality;375633;http://twitter.com/search?q=%23NetNeutrality
49;#4H4TheWorld;Ottawa;;%234H4TheWorld;;http://twitter.com/search?q=%234H4TheWorld
50;Ontario;Ottawa;;Ontario;13254;http://twitter.com/search?q=Ontario
51;#OttawaBluesFest;Ottawa;;%23OttawaBluesFest;;http://twitter.com/search?q=%23OttawaBluesFest
52;#NationalFrenchFryDay;Ottawa;;%23NationalFrenchFryDay;16476;http://twitter.com/search?q=%23NationalFrenchFryDay
53;Liu Xiaobo;Ottawa;;%22Liu+Xiaobo%22;39543;http://twitter.com/search?q=%22Liu+Xiaobo%22
54;Mike Myers;Ottawa;;%22Mike+Myers%22;;http://twitter.com/search?q=%22Mike+Myers%22
