;name;place;promoted_content;query;tweet_volume;url
0;#KARDnoRaulGil;Worldwide;;%23KARDnoRaulGil;30438.0;http://twitter.com/search?q=%23KARDnoRaulGil
1;#MaarifOrdusuNobette;Worldwide;;%23MaarifOrdusuNobette;25619.0;http://twitter.com/search?q=%23MaarifOrdusuNobette
2;Maryam Mirzakhani;Worldwide;;%22Maryam+Mirzakhani%22;32249.0;http://twitter.com/search?q=%22Maryam+Mirzakhani%22
3;Thiago Maia;Worldwide;;%22Thiago+Maia%22;;http://twitter.com/search?q=%22Thiago+Maia%22
4;Fatih Terim;Worldwide;;%22Fatih+Terim%22;23562.0;http://twitter.com/search?q=%22Fatih+Terim%22
5;Michael Matthews;Worldwide;;%22Michael+Matthews%22;;http://twitter.com/search?q=%22Michael+Matthews%22
6;#CHEN;Worldwide;;%23CHEN;326951.0;http://twitter.com/search?q=%23CHEN
7;#AWrinkleInTime;Worldwide;;%23AWrinkleInTime;;http://twitter.com/search?q=%23AWrinkleInTime
8;#ConsultaPopular16J;Worldwide;;%23ConsultaPopular16J;18077.0;http://twitter.com/search?q=%23ConsultaPopular16J
9;#6YearsSinceHP;Worldwide;;%236YearsSinceHP;;http://twitter.com/search?q=%236YearsSinceHP
10;#FelizSabado;Worldwide;;%23FelizSabado;29285.0;http://twitter.com/search?q=%23FelizSabado
11;#CambiandoJuntos;Worldwide;;%23CambiandoJuntos;20513.0;http://twitter.com/search?q=%23CambiandoJuntos
12;#EstaNevando;Worldwide;;%23EstaNevando;10616.0;http://twitter.com/search?q=%23EstaNevando
13;#NevadaDeGanarSeguidoresQue;Worldwide;;%23NevadaDeGanarSeguidoresQue;;http://twitter.com/search?q=%23NevadaDeGanarSeguidoresQue
14;#StreamingSorryNotSorry;Worldwide;;%23StreamingSorryNotSorry;12994.0;http://twitter.com/search?q=%23StreamingSorryNotSorry
15;#SongsOrBandsOnADiet;Worldwide;;%23SongsOrBandsOnADiet;;http://twitter.com/search?q=%23SongsOrBandsOnADiet
16;#OneDirectionStarOfTheFuture;Worldwide;;%23OneDirectionStarOfTheFuture;19737.0;http://twitter.com/search?q=%23OneDirectionStarOfTheFuture
17;#DogFilter;Worldwide;;%23DogFilter;10510.0;http://twitter.com/search?q=%23DogFilter
18;#Cblol;Worldwide;;%23Cblol;;http://twitter.com/search?q=%23Cblol
19;#DoctorWho13;Worldwide;;%23DoctorWho13;;http://twitter.com/search?q=%23DoctorWho13
20;#saturdaymorning;Worldwide;;%23saturdaymorning;31082.0;http://twitter.com/search?q=%23saturdaymorning
21;#VenezuelaVotaEn15Dias;Worldwide;;%23VenezuelaVotaEn15Dias;17403.0;http://twitter.com/search?q=%23VenezuelaVotaEn15Dias
22;#SuperheroineAMovie;Worldwide;;%23SuperheroineAMovie;;http://twitter.com/search?q=%23SuperheroineAMovie
23;#UribeVioladorDe;Worldwide;;%23UribeVioladorDe;;http://twitter.com/search?q=%23UribeVioladorDe
24;#GraceBySheunNatural;Worldwide;;%23GraceBySheunNatural;;http://twitter.com/search?q=%23GraceBySheunNatural
25;#TelekomCup;Worldwide;;%23TelekomCup;14350.0;http://twitter.com/search?q=%23TelekomCup
26;#DominGOT;Worldwide;;%23DominGOT;20678.0;http://twitter.com/search?q=%23DominGOT
27;#AkmanVeAlayumatGazetecidir;Worldwide;;%23AkmanVeAlayumatGazetecidir;;http://twitter.com/search?q=%23AkmanVeAlayumatGazetecidir
28;#CastingDePasion;Worldwide;;%23CastingDePasion;;http://twitter.com/search?q=%23CastingDePasion
29;#TonyBlairSongs;Worldwide;;%23TonyBlairSongs;;http://twitter.com/search?q=%23TonyBlairSongs
30;#INDvNZ;Worldwide;;%23INDvNZ;;http://twitter.com/search?q=%23INDvNZ
31;#BakasBlue;Worldwide;;%23BakasBlue;38402.0;http://twitter.com/search?q=%23BakasBlue
