;contributors;coordinates;created_at;entities;favorite_count;favorited;geo;id;id_str;in_reply_to_screen_name;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;is_quote_status;lang;metadata;place;possibly_sensitive;retweet_count;retweeted;source;truncated;user;extended_entities
0;;;Mon May 22 12:24:42 +0000 2017;{'urls': [{'expanded_url': 'https://youtu.be/jsLGe00rIsU', 'url': 'https://t.co/MK29nMyZaN', 'indices': [72, 95], 'display_url': 'youtu.be/jsLGe00rIsU'}], 'user_mentions': [], 'hashtags': [], 'symbols': []};1834.0;0.0;;8.66630898715947e+17;866630898715947009;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;297.0;0.0;"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>";0.0;{'statuses_count': 37956, 'name': 'Marques Brownlee', 'lang': 'en', 'created_at': 'Thu Apr 09 00:50:00 +0000 2009', 'profile_link_color': '6C4585', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000061582783/2a5ada827f010eeaeda7916e800bc394.png', 'is_translation_enabled': False, 'protected': False, 'listed_count': 6605, 'url': 'https://t.co/zGcF5QxPBI', 'friends_count': 211, 'id_str': '29873662', 'description': 'Web Video Producer | ?', 'location': 'NYC', 'verified': True, 'screen_name': 'MKBHD', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/818557354123870208/QRDP8wcd_normal.jpg', 'notifications': False, 'followers_count': 1257337, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://youtube.com/MKBHD', 'url': 'https://t.co/zGcF5QxPBI', 'indices': [0, 23], 'display_url': 'youtube.com/MKBHD'}]}}, 'profile_background_tile': True, 'geo_enabled': False, 'has_extended_profile': False, 'utc_offset': -14400, 'profile_image_url': 'http://pbs.twimg.com/profile_images/818557354123870208/QRDP8wcd_normal.jpg', 'id': 29873662, 'time_zone': 'Eastern Time (US & Canada)', 'profile_use_background_image': False, 'favourites_count': 22748, 'translator_type': 'regular', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'EDECE9', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/29873662/1480451975', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_sidebar_border_color': '000000', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000061582783/2a5ada827f010eeaeda7916e800bc394.png', 'following': True};
1;;;Mon May 22 11:24:45 +0000 2017;{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/866615815411568640', 'url': 'https://t.co/CjrhKsqXbK', 'indices': [111, 134], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [{'id_str': '621052501', 'screen_name': 'Hyperec_HRS', 'name': 'Hyper Recruitment', 'indices': [97, 109], 'id': 621052501}], 'hashtags': [{'text': 'Competition', 'indices': [0, 12]}, {'text': 'giveaway', 'indices': [13, 22]}, {'text': 'WIN', 'indices': [23, 27]}], 'symbols': []};315.0;0.0;;8.666158154115686e+17;866615815411568640;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;1013.0;0.0;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";1.0;{'statuses_count': 7417, 'name': 'Hyper Recruitment', 'lang': 'en', 'created_at': 'Thu Jun 28 14:51:09 +0000 2012', 'profile_link_color': '001EB3', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/661692295/yon4x01y6i3nt5qyelmf.jpeg', 'is_translation_enabled': False, 'protected': False, 'listed_count': 175, 'url': 'https://t.co/rdsre5fXVY', 'friends_count': 101, 'id_str': '621052501', 'description': 'Hyper Recruitment Solutions. Specialist #Science & #Technology #Recruitment Company  @RickyMartin247 @Lord_Sugar #HRS #Jobs The Science of Recruitment ?', 'location': 'EU Wide', 'verified': True, 'screen_name': 'Hyperec_HRS', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/711936643561869312/1FXTV8fN_normal.jpg', 'notifications': False, 'followers_count': 34121, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://www.hyperec.com', 'url': 'https://t.co/rdsre5fXVY', 'indices': [0, 23], 'display_url': 'hyperec.com'}]}}, 'profile_background_tile': False, 'geo_enabled': True, 'has_extended_profile': False, 'utc_offset': 3600, 'profile_image_url': 'http://pbs.twimg.com/profile_images/711936643561869312/1FXTV8fN_normal.jpg', 'id': 621052501, 'time_zone': 'London', 'profile_use_background_image': True, 'favourites_count': 1841, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'D6D6D6', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/621052501/1492012432', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_sidebar_border_color': 'C0DEED', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/661692295/yon4x01y6i3nt5qyelmf.jpeg', 'following': False};
2;;;Tue May 23 02:02:22 +0000 2017;{'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []};1122.0;0.0;;8.668366735518474e+17;866836673551847424;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;;340.0;0.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";0.0;"{'statuses_count': 21820, 'name': 'Philip Gourevitch', 'lang': 'en', 'created_at': 'Fri Jul 22 18:12:39 +0000 2011', 'profile_link_color': '009999', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'is_translation_enabled': False, 'protected': False, 'listed_count': 1518, 'url': 'https://t.co/B2cdyQUlgk', 'friends_count': 545, 'id_str': '340441440', 'description': ""Staff Writer at The New Yorker, author of 'The Ballad of Abu Ghraib', 'A Cold Case' & 'We Wish To Inform You That Tomorrow We Will Be Killed With Our Families'"", 'location': '', 'verified': True, 'screen_name': 'PGourevitch', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/453433288485781504/6DWyq4SV_normal.jpeg', 'notifications': False, 'followers_count': 53559, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://www.newyorker.com/contributors/philip-gourevitch', 'url': 'https://t.co/B2cdyQUlgk', 'indices': [0, 23], 'display_url': 'newyorker.com/contributors/p…'}]}}, 'profile_background_tile': True, 'geo_enabled': False, 'has_extended_profile': True, 'utc_offset': -18000, 'profile_image_url': 'http://pbs.twimg.com/profile_images/453433288485781504/6DWyq4SV_normal.jpeg', 'id': 340441440, 'time_zone': 'Quito', 'profile_use_background_image': True, 'favourites_count': 170, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': '131516', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/340441440/1487658418', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_sidebar_border_color': 'EEEEEE', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'following': False}";
3;;;Mon May 22 15:46:47 +0000 2017;{'urls': [{'expanded_url': 'https://www.youcaring.com/abillboardcompanyinseattle-827716', 'url': 'https://t.co/Okm4QZ0z6J', 'indices': [115, 138], 'display_url': 'youcaring.com/abillboardcomp…'}], 'user_mentions': [{'id_str': '20793816', 'screen_name': 'amazon', 'name': 'Amazon', 'indices': [12, 19], 'id': 20793816}, {'id_str': '6871942', 'screen_name': 'brittontaylor', 'name': 'Britton Taylor', 'indices': [85, 99], 'id': 6871942}], 'hashtags': [], 'symbols': []};728.0;0.0;;8.666817547775508e+17;866681754777550848;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;389.0;0.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";0.0;"{'statuses_count': 12688, 'name': 'Sleeping Giants', 'lang': 'en', 'created_at': 'Thu Nov 17 00:31:26 +0000 2016', 'profile_link_color': '1DA1F2', 'profile_background_image_url': None, 'is_translation_enabled': False, 'protected': False, 'listed_count': 846, 'url': 'https://t.co/Zlvx1LVmgR', 'friends_count': 151, 'id_str': '799047255378391040', 'description': ""We are trying to stop racist and sexist media by stopping its ad dollars. Many companies don't even know it's happening. It's time to tell them."", 'location': '', 'verified': True, 'screen_name': 'slpng_giants', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/839871287124099072/NWnquIPN_normal.jpg', 'notifications': False, 'followers_count': 89967, 'default_profile': True, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://facebook.com/slpnggiants', 'url': 'https://t.co/Zlvx1LVmgR', 'indices': [0, 23], 'display_url': 'facebook.com/slpnggiants'}]}}, 'profile_background_tile': False, 'geo_enabled': False, 'has_extended_profile': True, 'utc_offset': -25200, 'profile_image_url': 'http://pbs.twimg.com/profile_images/839871287124099072/NWnquIPN_normal.jpg', 'id': 799047255378391040, 'time_zone': 'Pacific Time (US & Canada)', 'profile_use_background_image': True, 'favourites_count': 2773, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/799047255378391040/1486282449', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_sidebar_border_color': 'C0DEED', 'profile_text_color': '333333', 'profile_background_image_url_https': None, 'following': False}";
4;;;Mon May 22 03:09:39 +0000 2017;{'urls': [], 'user_mentions': [], 'hashtags': [], 'symbols': []};2048.0;0.0;;8.664912171435049e+17;866491217143504896;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;;273.0;0.0;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";0.0;{'statuses_count': 3885, 'name': 'ItsNickBean', 'lang': 'en', 'created_at': 'Sat Jun 28 20:55:17 +0000 2014', 'profile_link_color': 'DD2E44', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'is_translation_enabled': False, 'protected': False, 'listed_count': 665, 'url': 'https://t.co/6VNbGULIVZ', 'friends_count': 15356, 'id_str': '2593686391', 'description': 'I make music and stuff.', 'location': 'North Carolina ', 'verified': True, 'screen_name': 'ItsNickBean', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/866886856499245056/qhzyJW_J_normal.jpg', 'notifications': False, 'followers_count': 204959, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'https://youtu.be/ylDsbzdHCpA', 'url': 'https://t.co/6VNbGULIVZ', 'indices': [0, 23], 'display_url': 'youtu.be/ylDsbzdHCpA'}]}}, 'profile_background_tile': False, 'geo_enabled': True, 'has_extended_profile': False, 'utc_offset': -10800, 'profile_image_url': 'http://pbs.twimg.com/profile_images/866886856499245056/qhzyJW_J_normal.jpg', 'id': 2593686391, 'time_zone': 'Atlantic Time (Canada)', 'profile_use_background_image': True, 'favourites_count': 29811, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'C0DEED', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2593686391/1495516908', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_sidebar_border_color': 'C0DEED', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'following': False};
5;;;Mon May 22 16:31:05 +0000 2017;{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/866692903183171584', 'url': 'https://t.co/NbTIgcUr1i', 'indices': [118, 141], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [], 'hashtags': [{'text': 'Logan', 'indices': [23, 29]}], 'symbols': []};947.0;0.0;;8.666929031831716e+17;866692903183171584;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;322.0;0.0;"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>";1.0;{'statuses_count': 1431, 'name': 'Logan', 'lang': 'en', 'created_at': 'Wed Aug 10 19:20:32 +0000 2011', 'profile_link_color': '0084B4', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/378800000134630160/iBhDFDVM.jpeg', 'is_translation_enabled': False, 'protected': False, 'listed_count': 797, 'url': 'https://t.co/1D2vunNciD', 'friends_count': 186, 'id_str': '352537410', 'description': 'Now on Digital HD. On Blu-ray and DVD May 23.', 'location': '', 'verified': True, 'screen_name': 'WolverineMovie', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/859446866244665344/XB2yVxCj_normal.jpg', 'notifications': False, 'followers_count': 235647, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://drop.lk/DHD_Fox_OS_LTW', 'url': 'https://t.co/1D2vunNciD', 'indices': [0, 23], 'display_url': 'drop.lk/DHD_Fox_OS_LTW'}]}}, 'profile_background_tile': False, 'geo_enabled': True, 'has_extended_profile': False, 'utc_offset': -25200, 'profile_image_url': 'http://pbs.twimg.com/profile_images/859446866244665344/XB2yVxCj_normal.jpg', 'id': 352537410, 'time_zone': 'Pacific Time (US & Canada)', 'profile_use_background_image': True, 'favourites_count': 2320, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/352537410/1493782425', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_sidebar_border_color': 'FFFFFF', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/378800000134630160/iBhDFDVM.jpeg', 'following': False};
6;;;Mon May 22 19:45:02 +0000 2017;{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/866741711669792773', 'url': 'https://t.co/mGJfWkbozn', 'indices': [109, 132], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [], 'hashtags': [{'text': 'Redshift', 'indices': [97, 106]}], 'symbols': []};5.0;0.0;;8.667417116697928e+17;866741711669792773;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;73.0;0.0;"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>";1.0;{'statuses_count': 21178, 'name': 'Informatica', 'lang': 'en', 'created_at': 'Wed Nov 12 22:26:04 +0000 2008', 'profile_link_color': '1B4973', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/884240585/fba177af34902712258cf04fff1d202d.jpeg', 'is_translation_enabled': False, 'protected': False, 'listed_count': 2663, 'url': 'https://t.co/wmyqnvGpZC', 'friends_count': 930, 'id_str': '17350542', 'description': 'As the leader in Enterprise Cloud Data Management,\nInformatica helps data-driven leaders unleash the power of data to drive their intelligent disruption.', 'location': 'Redwood City, California', 'verified': True, 'screen_name': 'Informatica', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/863223889047937024/cUoPjCIl_normal.jpg', 'notifications': False, 'followers_count': 117844, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'https://www.informatica.com/', 'url': 'https://t.co/wmyqnvGpZC', 'indices': [0, 23], 'display_url': 'informatica.com'}]}}, 'profile_background_tile': False, 'geo_enabled': True, 'has_extended_profile': False, 'utc_offset': -14400, 'profile_image_url': 'http://pbs.twimg.com/profile_images/863223889047937024/cUoPjCIl_normal.jpg', 'id': 17350542, 'time_zone': 'Eastern Time (US & Canada)', 'profile_use_background_image': True, 'favourites_count': 829, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'DDDDDD', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/17350542/1494643069', 'profile_sidebar_fill_color': 'DCE9F5', 'profile_sidebar_border_color': 'FFFFFF', 'profile_text_color': '333333', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/884240585/fba177af34902712258cf04fff1d202d.jpeg', 'following': False};
7;;;Mon May 22 23:56:43 +0000 2017;{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/866805053918785537', 'url': 'https://t.co/rmDYDr45fS', 'indices': [109, 132], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [{'id_str': '247483633', 'screen_name': 'amazonappstore', 'name': 'Amazon Appstore', 'indices': [49, 64], 'id': 247483633}], 'hashtags': [{'text': 'giveaway', 'indices': [8, 17]}], 'symbols': []};99.0;0.0;;8.668050539187855e+17;866805053918785537;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;461.0;0.0;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";1.0;{'statuses_count': 6238, 'name': 'NRG Esports', 'lang': 'en', 'created_at': 'Thu Nov 05 04:42:22 +0000 2015', 'profile_link_color': 'FF1440', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'is_translation_enabled': False, 'protected': False, 'listed_count': 289, 'url': 'https://t.co/2X9HySFOS7', 'friends_count': 781, 'id_str': '4131266472', 'description': 'Official account of professional gaming organization NRG Esports. Home of the 2x Smite World Champions & 3x RLCS NA Champions ? https://t.co/7fd8hXdRt2', 'location': 'Earth', 'verified': True, 'screen_name': 'NRGgg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/864904273363992576/1bl4QmJ4_normal.jpg', 'notifications': False, 'followers_count': 65912, 'default_profile': False, 'entities': {'description': {'urls': [{'expanded_url': 'http://youtube.com/c/nrggg', 'url': 'https://t.co/7fd8hXdRt2', 'indices': [128, 151], 'display_url': 'youtube.com/c/nrggg'}]}, 'url': {'urls': [{'expanded_url': 'http://www.nrg.gg', 'url': 'https://t.co/2X9HySFOS7', 'indices': [0, 23], 'display_url': 'nrg.gg'}]}}, 'profile_background_tile': False, 'geo_enabled': True, 'has_extended_profile': False, 'utc_offset': -25200, 'profile_image_url': 'http://pbs.twimg.com/profile_images/864904273363992576/1bl4QmJ4_normal.jpg', 'id': 4131266472, 'time_zone': 'Pacific Time (US & Canada)', 'profile_use_background_image': False, 'favourites_count': 12507, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': '000000', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4131266472/1495044261', 'profile_sidebar_fill_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_text_color': '000000', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'following': False};
8;;;Mon May 22 09:35:43 +0000 2017;{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/866588373745639424', 'url': 'https://t.co/9SpJr0zciO', 'indices': [121, 144], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [{'id_str': '270134317', 'screen_name': 'drdawnbarker', 'name': 'Dawn Barker', 'indices': [94, 107], 'id': 270134317}], 'hashtags': [], 'symbols': []};135.0;0.0;;8.665883737456394e+17;866588373745639424;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;439.0;0.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";1.0;{'statuses_count': 2896, 'name': 'Canelo', 'lang': 'en', 'created_at': 'Mon Nov 24 21:41:44 +0000 2014', 'profile_link_color': 'ABB8C2', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'is_translation_enabled': False, 'protected': False, 'listed_count': 73, 'url': 'http://t.co/ZaPANhDJrt', 'friends_count': 1039, 'id_str': '2891318217', 'description': 'Publisher of great ebooks. Also on Instagram @canelo_co.', 'location': 'London', 'verified': True, 'screen_name': 'canelo_co', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/742589523335471104/0TpMwodC_normal.jpg', 'notifications': False, 'followers_count': 2604, 'default_profile': False, 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://www.canelo.co', 'url': 'http://t.co/ZaPANhDJrt', 'indices': [0, 22], 'display_url': 'canelo.co'}]}}, 'profile_background_tile': False, 'geo_enabled': False, 'has_extended_profile': False, 'utc_offset': 3600, 'profile_image_url': 'http://pbs.twimg.com/profile_images/742589523335471104/0TpMwodC_normal.jpg', 'id': 2891318217, 'time_zone': 'London', 'profile_use_background_image': False, 'favourites_count': 1747, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': '000000', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2891318217/1491223287', 'profile_sidebar_fill_color': '000000', 'profile_sidebar_border_color': '000000', 'profile_text_color': '000000', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'following': False};
9;;;Mon May 22 22:29:55 +0000 2017;{'urls': [{'expanded_url': 'http://moneybadger.stocktwits.com/how-do-tech-companies-make-money/?utm_medium=community-twitter&utm_source=twitter.com&utm_campaign=outboundteam', 'url': 'https://t.co/WQJ0sLAD6F', 'indices': [91, 114], 'display_url': 'moneybadger.stocktwits.com/how-do-tech-co…'}, {'expanded_url': 'https://twitter.com/i/web/status/866783208884625409', 'url': 'https://t.co/YPapWTxS7C', 'indices': [116, 139], 'display_url': 'twitter.com/i/web/status/8…'}], 'user_mentions': [], 'hashtags': [], 'symbols': []};130.0;0.0;;8.667832088846254e+17;866783208884625409;;;;;;0.0;en;{'iso_language_code': 'en', 'result_type': 'popular'};;0.0;87.0;0.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";1.0;{'statuses_count': 56895, 'name': 'StockTwits', 'lang': 'en', 'created_at': 'Fri May 23 20:53:49 +0000 2008', 'profile_link_color': '40576F', 'profile_background_image_url': 'http://pbs.twimg.com/profile_background_images/371870912/stocktwits_twitter_bg.gif', 'is_translation_enabled': False, 'protected': False, 'listed_count': 8439, 'url': 'http://t.co/yyRNBE6l4N', 'friends_count': 126095, 'id_str': '14886375', 'description': 'Join the largest social network of investors and traders working together to beat the markets. Always free. Get our iOS or Android app: https://t.co/obEPmmpv52', 'location': 'New York, NY', 'verified': True, 'screen_name': 'StockTwits', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/732185372206059520/Jgc_b1iQ_normal.jpg', 'notifications': False, 'followers_count': 555378, 'default_profile': False, 'entities': {'description': {'urls': [{'expanded_url': 'http://onelink.to/8h5j9e', 'url': 'https://t.co/obEPmmpv52', 'indices': [136, 159], 'display_url': 'onelink.to/8h5j9e'}]}, 'url': {'urls': [{'expanded_url': 'http://www.stocktwits.com', 'url': 'http://t.co/yyRNBE6l4N', 'indices': [0, 22], 'display_url': 'stocktwits.com'}]}}, 'profile_background_tile': False, 'geo_enabled': False, 'has_extended_profile': False, 'utc_offset': -25200, 'profile_image_url': 'http://pbs.twimg.com/profile_images/732185372206059520/Jgc_b1iQ_normal.jpg', 'id': 14886375, 'time_zone': 'Pacific Time (US & Canada)', 'profile_use_background_image': False, 'favourites_count': 25653, 'translator_type': 'none', 'follow_request_sent': False, 'default_profile_image': False, 'is_translator': False, 'contributors_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/14886375/1436931698', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_sidebar_border_color': 'DDDDDD', 'profile_text_color': '171717', 'profile_background_image_url_https': 'https://pbs.twimg.com/profile_background_images/371870912/stocktwits_twitter_bg.gif', 'following': True};
