"";"Native";"Bytes";"Description"
"1";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31>";"\xF0\x9F\x98\x81";"GRINNING FACE WITH SMILING EYES"
"2";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";"\xF0\x9F\x98\x82";"FACE WITH TEARS OF JOY"
"3";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33>";"\xF0\x9F\x98\x83";"SMILING FACE WITH OPEN MOUTH"
"4";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E34>";"\xF0\x9F\x98\x84";"SMILING FACE WITH OPEN MOUTH AND SMILING EYES"
"5";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E35>";"\xF0\x9F\x98\x85";"SMILING FACE WITH OPEN MOUTH AND COLD SWEAT"
"6";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E36>";"\xF0\x9F\x98\x86";"SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES"
"7";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39>";"\xF0\x9F\x98\x89";"WINKING FACE"
"8";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>";"\xF0\x9F\x98\x8A";"SMILING FACE WITH SMILING EYES"
"9";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62>";"\xF0\x9F\x98\x8B";"FACE SAVOURING DELICIOUS FOOD"
"10";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E63>";"\xF0\x9F\x98\x8C";"RELIEVED FACE"
