;name;url;query;city
1;#HSVBSC;http://twitter.com/search?q=%23HSVBSC;%23HSVBSC;Berlin
2;#SGESCF;http://twitter.com/search?q=%23SGESCF;%23SGESCF;Berlin
3;#Heldt;http://twitter.com/search?q=%23Heldt;%23Heldt;Berlin
4;#Lindenstrasse;http://twitter.com/search?q=%23Lindenstrasse;%23Lindenstrasse;Berlin
5;#pulseofeurope;http://twitter.com/search?q=%23pulseofeurope;%23pulseofeurope;Berlin
6;Deutsche Bank;http://twitter.com/search?q=%22Deutsche+Bank%22;%22Deutsche+Bank%22;Berlin
7;Eintracht;http://twitter.com/search?q=Eintracht;Eintracht;Berlin
8;Abseits;http://twitter.com/search?q=Abseits;Abseits;Berlin
9;Schiedsrichter;http://twitter.com/search?q=Schiedsrichter;Schiedsrichter;Berlin
10;Wirtschaftsminister;http://twitter.com/search?q=Wirtschaftsminister;Wirtschaftsminister;Berlin
11;Anh‰nger;http://twitter.com/search?q=Anh%C3%A4nger;Anh%C3%A4nger;Berlin
12;Anfang April;http://twitter.com/search?q=%22Anfang+April%22;%22Anfang+April%22;Berlin
13;Halbzeit;http://twitter.com/search?q=Halbzeit;Halbzeit;Berlin
14;Merkel die Grenze;http://twitter.com/search?q=%22Merkel+die+Grenze%22;%22Merkel+die+Grenze%22;Berlin
15;Zelda;http://twitter.com/search?q=Zelda;Zelda;Berlin
16;#Schmidt;http://twitter.com/search?q=%23Schmidt;%23Schmidt;Berlin
17;#SGFFCN;http://twitter.com/search?q=%23SGFFCN;%23SGFFCN;Berlin
18;#DSCAUE;http://twitter.com/search?q=%23DSCAUE;%23DSCAUE;Berlin
19;#RBLLOK;http://twitter.com/search?q=%23RBLLOK;%23RBLLOK;Berlin
20;#Nazi;http://twitter.com/search?q=%23Nazi;%23Nazi;Berlin
21;#PslFinalLahore;http://twitter.com/search?q=%23PslFinalLahore;%23PslFinalLahore;Berlin
22;#UKOpen;http://twitter.com/search?q=%23UKOpen;%23UKOpen;Berlin
23;#MyWeaknessIn3Words;http://twitter.com/search?q=%23MyWeaknessIn3Words;%23MyWeaknessIn3Words;Berlin
24;#FCBB_live;http://twitter.com/search?q=%23FCBB_live;%23FCBB_live;Berlin
25;#EUCS;http://twitter.com/search?q=%23EUCS;%23EUCS;Berlin
26;#Kreisliga;http://twitter.com/search?q=%23Kreisliga;%23Kreisliga;Berlin
27;#dkbhbl;http://twitter.com/search?q=%23dkbhbl;%23dkbhbl;Berlin
28;#goldenekamera;http://twitter.com/search?q=%23goldenekamera;%23goldenekamera;Berlin
29;#BMGS04;http://twitter.com/search?q=%23BMGS04;%23BMGS04;Berlin
30;#dopa;http://twitter.com/search?q=%23dopa;%23dopa;Berlin
31;#KOEFCB;http://twitter.com/search?q=%23KOEFCB;%23KOEFCB;Berlin
32;#TakeMeOut;http://twitter.com/search?q=%23TakeMeOut;%23TakeMeOut;Berlin
33;#gefragtgejagt;http://twitter.com/search?q=%23gefragtgejagt;%23gefragtgejagt;Berlin
34;#Wendt;http://twitter.com/search?q=%23Wendt;%23Wendt;Berlin
35;#Bertha17;http://twitter.com/search?q=%23Bertha17;%23Bertha17;Berlin
36;#DSDS;http://twitter.com/search?q=%23DSDS;%23DSDS;Berlin
37;#WeSupportLouis;http://twitter.com/search?q=%23WeSupportLouis;%23WeSupportLouis;Berlin
38;#Biathlon;http://twitter.com/search?q=%23Biathlon;%23Biathlon;Berlin
39;#TSGFCI;http://twitter.com/search?q=%23TSGFCI;%23TSGFCI;Berlin
40;#linkelpt;http://twitter.com/search?q=%23linkelpt;%23linkelpt;Berlin
41;#Ehefueralle;http://twitter.com/search?q=%23Ehefueralle;%23Ehefueralle;Berlin
