"";"tweets.df.text";"emot"
"1";"Now Playing: Dmitrii G - Sugar (Original Mix) On Wepa.Fm - Spotlight Artist";""
"2";"12 Wealthiest Doctors From All Around The World &gt;&gt; https://t.co/093uejSLFt";""
"3";"@jeonniie tieah typew";""
"4";"pop out #AM_EGOLEVideo @IamAmOfficial https://t.co/Vk8KeXARRg";""
"5";"Receptionist -  https://t.co/Vov9yzVcYr";""
"6";"You don't want to slow your pace because you're hungry for lif... More for Leo https://t.co/VXYsJKJcRB";""
"7";"we'll take our shot even tho it might be scary... @Oiidamnmcvey  @LiveSmart #SmartShawnMendes #SmartMusicLive x227 https://t.co/93aElLSaus";""
"8";"Expert Reveals Why The Kangaroo Put The Dog &gt;&gt; https://t.co/YR0LkNRcvu";""
"9";"@mitchellvii LOL! Was 52 too high for them? 
The Nashville rally last night on Fox was all the ""poll"" I needed!";""
"10";"RT @MrKashish_Gaba: @mohitdhawan_mr @Gurmeetramrahim Awesome comedy movie about to come.. #Day9JEshoot";""
"11";"Photos: Snake crawls out of a man's shoe https://t.co/0UwDk9i0UO";""
"12";"RT @eveehunt: Notorious Nineteen: A Stephanie Plum Novel (Unabridged) - Janet... #Fiction https://t.co/1KFnLEHYX4 #Fiction";""
"13";"RT @Shatta_Quame: Sam artist dey do music but dem knw fit dey Confirm so dey wnt us @sarkodie &amp; @shattawalegh take confirm...Ankofirm u go";""
"14";"RT @Bmo93: When your alarm goes off in the morning and you start thinking if you really need that degree https://t.co/OXE1yI9jcA";""
"15";"As the day drones on you may catch yourself staring at the clo... More for Gemini https://t.co/4K8hQwJRU3";""
"16";"Welcome to my new 1 followers and goodbye to 1 unfollowers (FREE stats by https://t.co/TNISkZsu0M)";""
"17";"@korogafestival I've never attended any Koroga event. Would this be my first? #KorogaFestival @Capitalfmkenya";""
"18";"ooh my @KateQFunny ... ";"<SMILING FACE WITH HEART-SHAPED EYES>"
"19";"What does penguin means to south american?";""
"20";"RT @williamlegate: This literally happened...
Tucker Carlson: ""The counties who voted for you will do far worse under your plan""
Donal ";""
"21";"RT @edm_Re_jp: This drop  https://t.co/ggcmg80e6z";"<SMILING FACE WITH HEART-SHAPED EYES>"
"22";"What does juncture means to africans?";""
"23";"#science The ayahuasca king: the man who gives jungle 'medicine' to lost souls https://t.co/xDejmbwvVV #News #Technology #aws #startup";""
"24";"@Divya19913128 @muskaanbhasin @inshirah04 ofc you'll want to keep the class thing out of 'debate' because you know you'll lose!!";""
"25";"Kicking off the first ever Q Lab! @TracyWebb007 introducing the challenge, 'empowering people around health &amp; care' https://t.co/uRC3QpdlNB";""
"26";"RT @JimGaffigan: What came first Duty Free Shopping or the Toblerone Candy bar?";""
"27";"RT @KidsofWorld: DAVID COOK, 17 years old, has been #MISSING from #Athens #Alabama since February 19, 2017. Have you seen him? ";""
"28";"Live #platinumprice for spot #Platinum trading $966.6 USD, higher by +$10.3 or 1.07% on the day - https://t.co/D9x99NZJbh";""
"29";"RT @WrestlingNewsCo: Possible indication that Shinsuke Nakamura will be called up to #WWE main roster soon, NXT returning to UK ";""
"30";"losing your right to smoke over people losing their lives / losing right due to a fair trial https://t.co/a93KfQo7jW";""
"31";"I'm hungry. @ George Airport https://t.co/XJx8iA0t9H";""
"32";"This Tiny Glass Disc Can Store 360 TB  https://t.co/mukYg0O4Ev";""
"33";"It's an Allie X type of day";""
"34";"A wild Aipom has appeared! Available until 03:35:47 (29m 42s). https://t.co/OCx5vUcDr4";""
"35";"RT @cryshawty: i still keep u in my prayers";""
"36";"RT @TrashyeWest: gotta wake up the cancer https://t.co/UpQXLUOBLN";""
"37";"RT @drinksfeed: You can now drink alcohol-free wine to stay sober https://t.co/QV2ZdjT7k2";""
"38";"probably neither https://t.co/47EO8irLT4";""
"39";"Mayday is coming soon... https://t.co/oN6XmqhP2Q";""
"40";"Air max to 4-inch heels real quick ";"<PERSEVERING FACE>"
"41";"European cutie enjoys funny toy and sticks big dildo in snatch https://t.co/9IZ52CXdW3";""
"42";"RT @ItsMaleHumor: Speed https://t.co/Ty4rsYN9jV";""
"43";"RT @luzbeldauvergne: ""Support has arrived!
Where does it hurt?"" 

Mercy from @PlayOverwatch cosplay by @luzbeldauvergne

 Shoot by t ";"<BABY CHICK><CAMERA>"
"44";"RT @SuccesssparkBr1: #tbt Our July 2016 Writing Retreat. The small intimate classes allow faster learning, community building, and parti ";""
"45";"RT @FoodPornsx: Oreo Cake. https://t.co/yzvhqYV7og";""
"46";"RT @ItsMaleHumor: Speed https://t.co/Ty4rsYN9jV";""
"47";"TH only pls I need backup!Battle ID: 3204DAB8
Lvl 70 Colossus Omega
https://t.co/qkwgOvkOEE";""
"48";"RT @marge0330: Relationships are always stronger when you are bestfriends first and a couple second @iam_ginghs @oh_em_jee ";"<REVOLVING HEARTS>"
"49";"3 people unfollowed me today tracked by https://t.co/Z0DHaxewG5";""
"50";"This is me  https://t.co/PKsAemPrSo";"<TIRED FACE>"
"51";"RT @m1ttyc: Please enter a valid email address Please check one of the boxes #MischaBarton https://t.co/Wiq8wKuXbA https://t.co/duky1HuujF";""
"52";"DISNEY-MINNIE MOUSE BEAN PLUSH-NEW/TAGS-9""-DISNEY STORE EXCLUSIVE-POLKA-DOT RED #disneystore https://t.co/D3NgkrUJDV https://t.co/cwnEVuPZ0J";""
"53";"RT @ItsMaleHumor: Speed https://t.co/Ty4rsYN9jV";""
"54";"RT @amenregina: a stunning creature https://t.co/NAIIo5Rzw6";""
"55";"@red_loft  Have you been contacted by the delivery company yet? U are welcome to DM ur baggage file number. Thanks";""
"56";"https://t.co/2z1qA9kzQF #VideoLove Lady Gaga";""
"57";"Mom Writes Letter To Punish Her Entitled Son, -- https://t.co/yH0nWwk374";""
"58";"NEWS: @BoyJumpsShip announced to support Patent Pending on their UK tour from the 23rd-28th of April! Tix https://t.co/ooQZS9BKxO";""
"59";"As #DigitalHealth tech evolves, there are still roadblocks to overcome within #pharma: https://t.co/zngXg9lrQi https://t.co/VyNgVeRnkt";""
"60";"Wait, it's my mothers birthday on the 26th, but also Mother's Day... this'll save some money ;)";""
"61";"RT @camsiiee26: FOLLOW YOUR HEART MCLISSE";""
"62";"RT @Amiciperpetuum: 5th Anniversary ... amazing  https://t.co/n3NO7Cg5mw";""
"63";"What is Bitcoin? (v2) 

https://t.co/FeP0b7fRpY

Get Bitcoin Faster and Less Expensive than Mining https://t.co/MiVeFND5d0";""
"64";"RT @johnpavlovitz: Thank you to the Judiciary for protecting the Constitution and the American people from @realDonaldTrump. We are gratefu";""
"65";"Hey Badolina London thanks for the follow!";""
"66";"Metal Gear SPIZ 2 https://t.co/A9j4nnSHN4 via @YouTube https://t.co/yZh6p3wfCK";""
"67";"RT @blckriflecoffee: Only 1 Leprechaun was hurt filming this video #LeprechaunAmbush #BlackIrishCoffee @themanspot_ https://t.co/hjCnyn3JDI";""
"68";"RT @SbatSports:  YORKHILL 14/1 

YORKHILL TO WIN THE #JLT 14/1

HUGE PRICE HERE  https://t.co/CUYPuExD5X

#Altior ";"<BLACK RIGHT-POINTING TRIANGLE>"
"69";"RT @haileysecretary: Animated English Lessons - Jeffrey Hill | #Language |997648245 https://t.co/3zObhSgFEM";""
"70";"RT @miss_insa: @Gurmeetramrahim #WinningHeartsHKNKJ  saving the lives by donating blood";""
"71";"RT @xxxCums: The hottest webcam girls LIVE at https://t.co/zKk0Uj7h3h  FREE Signup! https://t.co/242xONCIjo";"<BLACK HEART SUIT>"
"72";"Absolutely! https://t.co/MuG7QGZs15";""
"73";"RT @molly_madd: Wonho for Litmus 2015 v Wonho for Litmus 2017  #MONSTA_X # #LITMUS https://t.co/g5cbsDvlJf";"<CHERRY BLOSSOM><RABBIT FACE>"
"74";"RT @vercoups: omg hansol shamelessly said his name when they asked who would dino date if he was a girl (!!!) #CHANSOL https://t.co/RIGYdU7";""
"75";"Home Improvements

2017 January
Banawe Avenue, Quezon City https://t.co/AUIPzSWNAw";""
"76";"RT @SteveStfler: One of the greatest lines ever uttered. https://t.co/wrEJQMVzBz";""
"77";"Chile https://t.co/GhG67xD3Fu";""
"78";"RT @lhfang: We obtained a call revealing Price plans to cut the Essential Health Benefits after Ryancare passes #CNNTownHall https://t.co/3";""
"79";"Gonna get some more sleep I am absolutely exhausted... gonna wake up and shoot at a wall for a couple hours maybe more..night";""
"80";"How To Become The Woman He Desperately Wants To Marry  &gt;";""
"81";"has the economy changed dating in Nevada https://t.co/bPyH7BvFim";""
"82";"Re-opened the stream bc btob is on then hyunsik is the first thing I see

WELL OK THANKS SO MUCH";""
"83";"disabled Veteran Told He Wouldnt Walk Again Until &gt;&gt; https://t.co/LirLfHQ6vf";""
"84";"RT @Maichard162: Whatever you want to do, do it now. There are only so many tomorrows. #DTBYProtesta";""
"85";"RT @hellokpop: GFriend Is The First Korean Girl Group To Enter Top 10 On Billboard's World Albums Chart - https://t.co/zGhdVxkhZz https://t";""
"86";"Can you recommend anyone for this #job? UAMS INTENSIVE CARE UNITS RN I NG RESIDENCY PROGRAM - https://t.co/qxxlY6tjcJ #Nursing #Hiring";""
"87";"Child abuse. If you think it, report it. Everyone has a role to play in tackling child abuse #tackleabusetogether https://t.co/wO5dDKP83E";""
"88";"Rex Tillerson, in Japan, Says US Needs 'Different Approach' to North Korea - New York Times https://t.co/Dj3GueGhwB";""
"89";"Great work guys!! #GaditekDevDay #AccessSuccess https://t.co/N1Qxw1fnzZ";""
"90";"Great work guys!! #GaditekDevDay #AccessSuccess https://t.co/B5vXSLbmIT";""
"91";"Great work guys!! #GaditekDevDay #AccessSuccess https://t.co/NF5SsAzm8L";""
"92";"RT @EnchantingDiosa: ""I'm sorry who the fuck are you.""

dusk till dawn rp 
mature/dark theme 21+
crossover friendly 
dm open

RT ht";"<COLLISION SYMBOL>"
"93";"#Conface Installation of 3,000 flowers tracks and mirrors your movements https://t.co/wj6ZRYh93X";""
"94";"Great work guys!! #GaditekDevDay #AccessSuccess https://t.co/6qNkGafMfw";""
"95";"Here's How You Can Cure A Toothache Yourself &gt;&gt; https://t.co/qaIpNVekFP";""
"96";"Great work guys!! #GaditekDevDay #AccessSuccess https://t.co/kEbsiG0mzr";""
"97";"How to Optimize Pinterest Content for Search https://t.co/IA1wJCSIuV #socialmedia #marketing https://t.co/aYApPtVl8V";""
"98";"Installation of 3,000 flowers tracks and mirrors your movements https://t.co/UEmUDaS3yc https://t.co/Cik1wh4VNj";""
"99";"RT @InshaMaan: @Gurmeetramrahim yummy
#MSGeclairsCandy";""
"100";"Jealous? Perhaps";""
"101";"RT @trendinaliaPI: @WeLoveJaDine the 1st mention of #JaDineMYXAwards2017 appears on your TL. Now is Trending Topic in Philippines! #trndnl";""
"102";"RT @FoxNews: Legislators in California introduce bill to exempt teachers from state income tax  https://t.co/tQQkMAJ9oX ";""
"103";"RT @WORIDSTARHIPH0P: Who is the better Big 3? https://t.co/lSg5qLWAEl";""
"104";"Thoughts twitter community? #IOCprev2017 https://t.co/yHE21tD4SE";""
"105";"RT @GabrielConte: If you have 2 minutes please watch this. It's insanely important.

#TurkishAirlinesHelpSomalia https://t.co/HwtstsI4qr";""
"106";"RT @TVOFFAL: Met @Afshinrattansi who said we nearly came to blows @ Groucho once. He joins a gang that includes Mother Theresa.Big fan of @";""
"107";"Astro A50 Black Headband Headsets for PS4 / PC https://t.co/HpekeqSioV https://t.co/ZVBvCAR942";""
"108";"Come with your family and enjoy our spaces, fountains and great atmosphere. We are waiting for you! #SiamMall https://t.co/xifeQwTm1W";""
"109";"Natty King - Truth";""
"110";"RT @sunil_tata07: @Gurmeetramrahim Thankx papa ji 4 adding new taste in our life.
#MSGeclairsCandy";""
"111";"RT @Freepress27: This Saturday @RudebwoyRanking X @FancyGadam2  #RushMeetsRasta https://t.co/V7GnJVULl7";""
"112";"RT @tancredipalmeri: Champions League higher half

Juventus
Bayern Munich
Real Madrid
Barcelona 

Lower half

Atletico
Borussia Dortmund
Mo";""
"113";"RT @realmadriden: 
Today's first-team training session is underway at #RMCity!

#HalaMadrid https://t.co/seDUDNvM2N";"<BLACK SUN WITH RAYS><FLEXED BICEPS><RUNNER>"
"114";"Good conversation with good company";""
"115";"@ErrolDbleBarrel dab, eat five guys, and write music**";""
"116";"@JezzaBelle Morning Vicki, I apologise for the difficult time you've been having with all this. I would really like to help you. 1/2 ^Clare";""
"117";"Story telling!
#talesandanecdotes #greatstories #woodshole @ Woods https://t.co/q5tz5J5Etd";""
"118";"RT @jaylacollier02: telling a girl how important she is to you is one of the best things you can do for her:)))";""
"119";"bald tight pussy #boy having girl sex video https://t.co/Qbgf5VwGKc";""
"120";"RT @Freepress27: This Saturday @RudebwoyRanking X @FancyGadam2  #RushMeetsRasta https://t.co/V7GnJVULl7";""
"121";"RT @Freepress27: This Saturday @RudebwoyRanking X @FancyGadam2  #RushMeetsRasta https://t.co/V7GnJVULl7";""
"122";"@Meem_Hye @MeenalBhalla I don't compete";""
"123";"RT @Freepress27: This Saturday @RudebwoyRanking X @FancyGadam2  #RushMeetsRasta https://t.co/V7GnJVULl7";""
"124";"She Thought It Was A Normal Clogged Pore, -- https://t.co/5shdrCAmoa";""
"125";"brunette teen fucked with big cock: Duration: 22 min https://t.co/kOGx28LvUJ https://t.co/qnKHdXwdfY";""
"126";"RT @statelinerphs: School is closed, today, March 16. Offices will be open at 10 am.";""
"127";"Air max to 4-inch heels real quick ";"<PERSEVERING FACE>"
"128";"RT @ChloeGMoretz: The most unamused ballerina in all the land apparently https://t.co/RHbwO03Iee";""
"129";"RT @bluebaby28: [HQ] GOT7 &lt;THE FLIGHT LOG&gt; EXHIBITION - Yugbam +_+ 

#GOT7 # #FLIGHTLOG #ARRIVAL #NeverEver  #Yugyeom #Bambam ";""
"130";"RT @booknerdfession: ""The heart of man is very much like the sea, it has its storms, its tides and its depths; it has its pearls too.""  Vi";""
"131";"RT @CassperNyovest: I usually don't get radio airplay but radio been giving us a lot of love too. Shout out to all the radio stations playi";""
"132";"RT @_seanedmund: The point on transfer of personal data is potentially huge. UK has no international data protection agreements - al ";""
"133";"You forget your victories, but you remember the losses https://t.co/49hems2Tmk";""
"134";"travel ban, Dutch elections, FB, Amanda Seyfried, Cheerios, ...";""
"135";"RT @ntvuganda: #NTVATONE with @joelssenyonyi live here: https://t.co/jUJpMZ7PZT";""
"136";"RT @NBCTheVoice: Your first look at @johnlegend and @adamlevine advising #TeamAdam at #VoiceBattles is here.  https://t.co/CtGvjsOovn";"<EYES>"
"137";"RT @boohoo:  #GiveawayAlert  Retweet + follow for the chance to win the jacket  Winner announced Friday #giveaway ";"<SPARKLES><SPARKLING HEART>"
"138";"RT @biancamariee15: good afternoon to everyone except those who are on vacation for spring break";""
"139";"Infographics https://t.co/dUvd69o5IR #crowdfunding";""
"140";"Just realized i have an all female thesis committee and collaborators! ";"<FLEXED BICEPS><HEAVY BLACK HEART>"
"141";"@TeamMaryam the 1st mention of #___ appears on your TL. Now is Trending Topic in Pakistan! #trndnl";""
"142";"RT @political_alert: Statement from Australian Council of Trade Unions Secretary Sally McManus #auspol https://t.co/03TjD7mz0V";""
"143";"RT @glacks419: Some babyz asked how Himchan is  and Youngjae said he's hurt but he's ok and he'll be back soon ";"<LOUDLY CRYING FACE>"
"144";"Op-Ed Contributor: Erick Erickson: Dont Try to Fix Obamacare. Abolish It. https://t.co/Rn4SMEtM0h https://t.co/5ktGk6cAU9";""
"145";"#Tehran Police Chief Fears the Protests Held on Fire Festivities. #Iran https://t.co/DVdKviaGsM  https://t.co/cq9vWAaEqm";""
"146";"RT @pagkalaagan: Tweet count as of March 16, 6:00PM for #DTBYProtesta is 
87,388 tweets. Remaining: -912,612 tweets";""
"147";"How to Pronounce Photo Phobia RT https://t.co/E2cAGfhqlF #";"<HEAVY BLACK HEART>"
"148";"Sica has a slow reaction";""
"149";"RT @EcoHealthNYC: Bourbon virus, Powassan virus, and Heartland virusall new tick-borne viruses in the US. https://t.co/Es9wBsMsfy";""
"150";"RT @Jmc583: 2 hours to go til we see Mayward on MYX Awards 2017.

#MYXMusicAwardsMAYWARD";""
"151";"#scool girls sex free latin nude pics https://t.co/7WRWlGOzZs";""
"152";"I C both sides like Chanel. See on both sides like Chanel... Clever Frank, clever @TIDALHiFi https://t.co/UXV6V3bydP https://t.co/UXV6V3bydP";""
"153";"Poor Cherie, I feel for her!! Not https://t.co/W0nbmQjF1l";""
"154";"https://t.co/bvemOPEdr3 #VideoLove Lady Gaga";""
"155";"Day 456: i miss them but I'm so ready for their new stuff";""
"156";"1000 Uptown Park Blvd #264, Houston, TX 77056, $5,500,000 3 beds, 4 baths https://t.co/rdJqtSYOA4";""
"157";"Usain Bolt loses one Olympic gold medal as Nesta Carter tests positive - BBC Sport https://t.co/qaQaTyLSaR  https://t.co/ovgkJu8Lzn";""
"158";"@DavidHaugh @mullyhanley @670TheScore the West region is stacked academically. I call conspiracy! #Bracketology";""
"159";"RT @amelgasir: @Sj_in_Ly yes, and this is a big problem on the long run. The #GNA must work very fast on building it's own forces, police &amp;";""
"160";"RT @Planetary_Sec:  

Trumps Defense Secretary Cites Climate Change as National Security Challenge.

https://t.co/Vs7M9WlMRR ";"<REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S>"
"161";"I'm so thankful to have you both in my life. You deserve so much more. Follow me please, @Louis_Tomlinson &amp; @LiamPayne? - 34,514";""
"162";"Goals  https://t.co/VbiIe0ztCg";"<FACE WITH STUCK-OUT TONGUE AND WINKING EYE>"
"163";"Beaware! NEVER Eat At These Restaurants! You Have  https://t.co/ipUv0p2tS7";""
"164";"Healthy 2-Weeks-Old Girl Dies After Father Rolls Cannabis &gt;&gt; https://t.co/kVateT1LvO";""
"165";"Should the yellow buses be retained because of that?  It is possible the new buses charge cheaper than the yellow o https://t.co/WGR8NaWcey";""
"166";"Hacked: The Inside Story of America's St https://t.co/ZhTSclJYA0 #InfoSec #Cybersecurity https://t.co/ahMSx46n10 https://t.co/DhMOI7LXI0";""
"167";"Eating catfood out of the sword, famine and with my man.";""
"168";"RT @IamJenMcQueen: @50ben_fvkkd good one";""
"169";"RT @ashokgehlot51: The party is using its might n resources to alter the people's first choice, that is #Congress. #Goa #Manipur";""
"170";"RT @DjAlastairJames: Killed it in SF! Hope that set was recorded!!! Gotta relive it!";""
"171";"Now Playing: Feel Alive (Funky Truckerz Remix) by Ples Jones &amp; Freedah Soul on Beats 360. https://t.co/nXDpysl5Ar";""
"172";"RT @MayWardOfficial: #MBMayWard has reached 1M tweets! Thank you @_MagandangBuhay for yesterday's episode! https://t.co/roEEtNAzoB";""
"173";"RobinSharma: https://t.co/5PhOPUUYNy follow Letscontree";""
"174";"+++breaking+++ Kremlin spokesperson says Russian spies were not involved in Yahoo hacking https://t.co/meB0S69Qiy https://t.co/3QXv7Kowyo";""
"175";"I'm Rin and I hate yoyu for making me like As109.";""
"176";"Dinosaur hunting with my nephew at #gardensbythebay . Pop on by the Dye-Nosaur Gardens this https://t.co/9SEWFNX64V";"<CROCODILE><HIBISCUS><SUNFLOWER>"
"177";"Quotes, Jokes, Pictures, Fun Facts for Adults 
https://t.co/Mwg2DPSd5w
#Quotes #Kinky #Se https://t.co/Wlel36K77F https://t.co/mvwNKAGQBv";""
"178";"RT @DrJaninaRamirez: The most fun,laid back way to make sense of Modern Art? Probably. Art Ninja vs Art Detective https://t.co/1bok6qRhoq h";""
"179";"i drink coke and eat fries after workout and idc";""
"180";"realize what tf you got.";""
"181";"YouTuber Blocking NYC Road For *Photoshoot* - Gets -- https://t.co/AvNQasxjl6";""
"182";"Rockford, Illinois public school employees go on strike - World Socialist https://t.co/2IwgfyNBGC - WinnCountyNews";""
"183";"RT CorrinaPysa: Cleveland's St. Paddy's Day parade may be in jeopardy... jdrudd tracking rain/snow for tomorrow. R https://t.co/mjda2dEXWR";""
"184";"You may automatically rebel against lethargy by trying to go f... More for Sagittarius https://t.co/YmHatOl5ac";""
"185";"RT @girlposts: ""how's this semester going?"" https://t.co/2dkfyw4WcF";""
"186";"Some of my successful clients ""check-in"" in the morning &amp; evening for support &amp; a chance to maintain their progress https://t.co/s8GiFtWfGm";""
"187";"BARSKA Deep Sea 7x50 Waterproof Floating #Binocular #Compass https://t.co/qW9h1b0Onp #free #win #style #giveaway # https://t.co/iHlMo1fLft";""
"188";"please im so sad give it to me @shawnismysavior pls @LiveSmart #SmartMusicLive #SmartShawnMendes https://t.co/3ZnKX7j5Fd";""
"189";"RT @Pol_Sec_Analyst: Helen Zille in the streetHelen Zille in the sheets https://t.co/DSChR0suHg";""
"190";"RT @XANMAN: you eventually realize who's worth it and who's not";""
"191";"gay cowboy dating in France https://t.co/zubUON2GbL";""
"192";"RT @QueerXiChisme: Imagine if Willi Ninja had quilted instead of Vogued. Would Madonna be known for her hit ""Quilt"" instead of ""Vogue"" ";""
"193";"RT @CauseWereGuys: Agreed https://t.co/r66YmJ1lPr";""
"194";"RT @CollectPlus: Theres still time to win an original @HugBoxUK for #MothersDay. Simply RT &amp; follow both to enter. Good luck:";""
"195";"RT @NCTEngsubs: NCT night night! : V LIVE  https://t.co/xsoGCvgnMZ";""
