Name;News_F1;Spam_F1;Size;Accuracy;Kappa
LogisticRegression;0,59;0,67;98;63,33;29,79
NaiveBayes;0,76;0,61;98;70;37,21
MultinomialNB;0,78;0,67;98;73,33;44,7
BernoulliNB;0,76;0,69;98;73,33;45,7
LinearSVC;0,48;0,63;98;56,67;18,41
SVC_linear;0,5;0,66;98;60;25,31
SVC_poly;0;0,6;98;43,33;0
SVC_rbf;0,67;0,59;98;63,33;26,01
SVC_sigmoid;0,43;0,65;98;56,67;19,75
SGD;0,28;0,58;98;46,67;2,04
MLP;0,59;0,67;98;63,33;29,79
RandomForest;0,11;0,62;98;46,67;5,14
AdaBoost;0,21;0,63;98;50;10,36
Vote;0,59;0,67;98;63,33;29,79
LogisticRegression;0,8;0,72;98;76,67;52,49
NaiveBayes;0,82;0,43;98;73,33;32,2
MultinomialNB;0,84;0,58;98;76,67;44,44
BernoulliNB;0,75;0,72;98;73,33;48,5
LinearSVC;0,78;0,67;98;73,33;44,7
SVC_linear;0,76;0,69;98;73,33;46,67
SVC_poly;0;0,54;98;36,67;0
SVC_rbf;0,74;0,55;98;66,67;28,23
SVC_sigmoid;0,73;0,67;98;70;41,05
SGD;0,79;0,74;98;76,67;54,15
MLP;0,8;0,72;98;76,67;52,49
RandomForest;0,62;0,65;98;63,33;32,65
AdaBoost;0,41;0,61;98;53,33;20,75
Vote;0,83;0,75;98;80;58,53
LogisticRegression;0,8;0,72;98;76,67;52,05
NaiveBayes;0,8;0,6;98;73,33;41,18
MultinomialNB;0,84;0,73;98;80;57,14
BernoulliNB;0,76;0,69;98;73,33;45,95
LinearSVC;0,83;0,77;98;80;59,46
SVC_linear;0,71;0,69;98;70;41,56
SVC_poly;0;0,57;98;40;0
SVC_rbf;0,8;0,72;98;76,67;52,05
SVC_sigmoid;0,65;0,62;98;63,33;28,57
SGD;0,74;0,64;98;70;38,36
MLP;0,83;0,77;98;80;59,46
RandomForest;0,54;0,65;98;60;26,83
AdaBoost;0,46;0,58;98;53,33;14,63
Vote;0,8;0,72;98;76,67;52,05
LogisticRegression;0,8;0,72;98;76,67;53,33
NaiveBayes;0,83;0,75;98;80;60
MultinomialNB;0,83;0,75;98;80;60
BernoulliNB;0,73;0,43;98;63,33;26,67
LinearSVC;0,73;0,67;98;70;40
SVC_linear;0,71;0,69;98;70;40
SVC_poly;0,67;0;98;50;0
SVC_rbf;0,79;0,64;98;73,33;46,67
SVC_sigmoid;0,79;0,74;98;76,67;53,33
SGD;0,78;0,66;98;73,33;46,67
MLP;0,8;0,72;98;76,67;53,33
RandomForest;0,73;0,43;98;63,33;26,67
AdaBoost;0,72;0,8;98;76,67;53,33
Vote;0,83;0,75;98;80;60
LogisticRegression;0,76;0,69;98;73,33;45,95
NaiveBayes;0,84;0,59;98;76,67;46,15
MultinomialNB;0,84;0,59;98;76,67;46,15
BernoulliNB;0,81;0,79;98;80;60,53
LinearSVC;0,83;0,63;98;76,67;47,76
SVC_linear;0,83;0,63;98;76,67;47,76
SVC_poly;0;0,57;98;40;0
SVC_rbf;0,77;0,57;98;70;34,78
SVC_sigmoid;0,69;0,64;98;66,67;34,21
SGD;0,69;0,71;98;70;43,04
MLP;0,76;0,69;98;73,33;45,95
RandomForest;0,54;0,65;98;60;26,83
AdaBoost;0,52;0,61;98;56,67;19,75
Vote;0,76;0,69;98;73,33;45,95
LogisticRegression;0,78;0,67;98;73,33;48,28
NaiveBayes;0,82;0,77;98;80;60,87
MultinomialNB;0,79;0,74;98;76,67;54,15
BernoulliNB;0,67;0,21;98;53,33;11,76
LinearSVC;0,73;0,67;98;70;41,05
SVC_linear;0,73;0,67;98;70;41,05
SVC_poly;0,64;0;98;46,67;0
SVC_rbf;0,73;0,67;98;70;41,05
SVC_sigmoid;0,79;0,74;98;76,67;54,15
SGD;0,8;0,72;98;76,67;54,55
MLP;0,73;0,67;98;70;41,05
RandomForest;0,48;0,72;98;63,33;23,96
AdaBoost;0,57;0,77;98;70;37,79
Vote;0,77;0,69;98;73,33;47,83
LogisticRegression;0,7;0,52;98;63,33;32,1
NaiveBayes;0,73;0,58;98;66,67;37,76
MultinomialNB;0,73;0,58;98;66,67;37,76
BernoulliNB;0,63;0,21;98;50;10,36
LinearSVC;0,73;0,58;98;66,67;37,76
SVC_linear;0,73;0,58;98;66,67;37,76
SVC_poly;0,6;0;98;43,33;0
SVC_rbf;0,7;0,62;98;66,67;36,71
SVC_sigmoid;0,74;0,64;98;70;43,51
SGD;0,69;0,56;98;63,33;30,96
MLP;0,7;0,52;98;63,33;32,1
RandomForest;0,77;0,82;98;80;59,28
AdaBoost;0,63;0,37;98;53,33;14,29
Vote;0,7;0,52;98;63,33;32,1
LogisticRegression;0,63;0,48;98;56,67;13,33
NaiveBayes;0,69;0,45;98;60;20
MultinomialNB;0,67;0,5;98;60;20
BernoulliNB;0,72;0,33;98;60;20
