;time_stamp;Name;Kernel;feature_cnt;type;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_09_25_14:13:35;LogisticRegression;;;descriptive_features;975.0;7507.0;415.0;3221.0;7.0;3217.0;4.0;408.0;0.19;2.71;50.78;0.417;0.02;0.0;0.64;0.02;0.04;1.0;0.98;0.89;1.0;0.94
1;2017_09_25_14:13:36;GaussianNB;;;descriptive_features;975.0;7507.0;415.0;3221.0;27.0;3140.0;81.0;388.0;0.74;5.89;52.0;0.401;0.07;0.03;0.25;0.07;0.11;0.97;0.93;0.89;0.97;0.93
2;2017_09_25_14:13:36;MultinomialNB;;;descriptive_features;975.0;7507.0;415.0;3221.0;77.0;3025.0;196.0;338.0;2.12;14.65;56.23;0.199;0.19;0.06;0.28;0.19;0.23;0.94;0.81;0.9;0.94;0.92
3;2017_09_25_14:13:36;BernoulliNB;;;descriptive_features;975.0;7507.0;415.0;3221.0;61.0;3153.0;68.0;354.0;1.68;17.99;56.29;0.401;0.15;0.02;0.47;0.15;0.23;0.98;0.85;0.9;0.98;0.94
4;2017_09_25_14:14:00;SVC;linear;;descriptive_features;975.0;7507.0;415.0;3221.0;5.0;3218.0;3.0;410.0;0.14;1.94;50.56;23.118;0.01;0.0;0.62;0.01;0.02;1.0;0.99;0.89;1.0;0.94
5;2017_09_25_14:22:27;SVC;poly;;descriptive_features;975.0;7507.0;415.0;3221.0;138.0;2947.0;274.0;277.0;3.8;24.82;62.37;507.12;0.33;0.09;0.33;0.33;0.33;0.91;0.67;0.91;0.91;0.91
6;2017_09_25_14:22:30;SVC;rbf;;descriptive_features;975.0;7507.0;415.0;3221.0;50.0;3188.0;33.0;365.0;1.38;16.92;55.51;3.294;0.12;0.01;0.6;0.12;0.2;0.99;0.88;0.9;0.99;0.94
7;2017_09_25_14:22:32;SVC;sigmoid;;descriptive_features;975.0;7507.0;415.0;3221.0;67.0;2846.0;375.0;348.0;1.84;4.38;52.25;2.453;0.16;0.12;0.15;0.16;0.15;0.88;0.84;0.89;0.88;0.88
8;2017_09_25_14:22:33;SGD;;;descriptive_features;975.0;7507.0;415.0;3221.0;0.0;3221.0;0.0;415.0;0.0;0.0;50.0;0.221;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.89;1.0;0.94
9;2017_09_25_14:22:34;MLP;;;descriptive_features;975.0;7507.0;415.0;3221.0;8.0;3196.0;25.0;407.0;0.22;1.92;50.58;1.065;0.02;0.01;0.24;0.02;0.04;0.99;0.98;0.89;0.99;0.94
10;2017_09_25_14:29:37;RandomForest;;;descriptive_features;975.0;7507.0;415.0;3221.0;93.0;3149.0;72.0;322.0;2.56;27.35;60.09;423.701;0.22;0.02;0.56;0.22;0.32;0.98;0.78;0.91;0.98;0.94
11;2017_09_25_14:29:49;AdaBoost;;;descriptive_features;975.0;7507.0;415.0;3221.0;74.0;3162.0;59.0;341.0;2.04;22.73;58.0;11.178;0.18;0.02;0.56;0.18;0.27;0.98;0.82;0.9;0.98;0.94
12;2017_09_25_14:36:55;Vote;;;descriptive_features;975.0;7507.0;415.0;3221.0;16.0;3215.0;6.0;399.0;88.86;6.25;51.83;426.696;0.04;0.0;0.73;0.04;0.08;1.0;0.96;0.89;1.0;0.94
