;time_stamp;Name;Kernel;feature_cnt;type;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_09_15_09:20:15;LogisticRegression;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;14.0;2.0;14.0;0.0;53.33;11.76;56.25;0.027;1.0;0.88;0.5;1.0;0.67;0.12;0.0;1.0;0.12;0.21
1;2017_09_15_09:20:15;NaiveBayes;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.043;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
2;2017_09_15_09:20:15;MultinomialNB;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;10.0;8.0;8.0;4.0;60.0;21.05;60.71;0.024;0.71;0.5;0.56;0.71;0.63;0.5;0.29;0.67;0.5;0.57
3;2017_09_15_09:20:15;BernoulliNB;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.03;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
4;2017_09_15_09:20:15;SVC;linear;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.027;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
5;2017_09_15_09:20:15;SVC;poly;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.025;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
6;2017_09_15_09:20:15;SVC;rbf;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;14.0;2.0;14.0;0.0;53.33;11.76;56.25;0.026;1.0;0.88;0.5;1.0;0.67;0.12;0.0;1.0;0.12;0.21
7;2017_09_15_09:20:15;SVC;sigmoid;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;14.0;2.0;14.0;0.0;53.33;11.76;56.25;0.026;1.0;0.88;0.5;1.0;0.67;0.12;0.0;1.0;0.12;0.21
8;2017_09_15_09:20:15;SGD;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.025;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
9;2017_09_15_09:20:15;MLP;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;0.276;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
10;2017_09_15_09:20:19;RandomForest;;100;bag_of_ngrams_2_5;35.0;32.0;14.0;16.0;5.0;15.0;1.0;9.0;66.67;30.56;64.73;3.442;0.36;0.06;0.83;0.36;0.5;0.94;0.64;0.62;0.94;0.75
