;words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854395806979424258;"['1935', '&', 'gt', ';', '1975', '#', 'greatestgeneration', 'made', 'USA', 'richer', 'reduced', 'inequality', '!', '#', 'fight4freedoms', 'https', ':', '//t.co/IRAVzJKtlE']";"1935 &gt;1975 the #greatestgeneration made USA richer AND reduced inequality! #fight4freedoms ";False;117;18;False;True;False;0.0;False;0.1111111111111111;True;True;pos;1.0;2329;178896;9240;867;True;True;True;2.0
854395812306092032;['Hey', '@', 'amazon', 'order', 'stating', 'would', '4/7', 'still', 'hasn’t', 'delivered', 'update', 'avail', 'Shipping', 'Info', '.', 'help', '?'];Hey @amazon an order stating it would be here by 4/7 still hasn’t been delivered and no update avail in Shipping Info. Can you help?;False;132;17;True;False;False;0.0;True;0.030303030303030304;False;False;neg;1.0;2764;41235;473;832;False;True;False;0.0
854395813891641344;"['Shit', 'ai', ""n't"", 'much', 'fun', 'since', 'Amazon', 'started', 'taxing']";Shit just ain't as much fun since Amazon started taxing;False;55;9;False;False;False;0.0;False;0.03636363636363636;False;False;pos;0.6;2793;281481;911;859;False;True;True;0.0
854395814495395841;"['@', 'tlidesign', 'Sorel', 'Joan', 'Arctic', 'Wedge', 'Mid', 'Boot', '-', 'Women', ""'s"", 'Elk', '7.5', 'sale', '$', '124.99', 'Amazon', '.', 'Product', 'page', ':', 'https', ':', '//t.co/rctvqg4XHz']";@tlidesign Sorel Joan Of Arctic Wedge Mid Boot - Women's Elk 7.5 is now on sale for $124.99 at Amazon. Product page: ;False;140;24;False;False;False;0.0;False;0.09285714285714286;False;False;pos;1.0;2827;1097421;4253;8;False;True;True;0.0
857560531930157060;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/Lj4kDqzNu5'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11194029850746269;False;True;pos;1.0;32;5087;18;0;False;True;False;0.0
857560537332363264;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/HIxmEAAHra'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.13432835820895522;False;True;pos;1.0;32;4012;7;0;False;True;False;0.0
857560538167083009;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/qiuxOv20ia'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.09701492537313433;False;True;pos;1.0;28;3553;2;0;False;True;False;0.0
857560538338951170;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/23O3HfUF9c'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;32;4052;19;443;False;True;False;0.0
857560538343231488;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/Frtz4rCaCW'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;32;3974;25;441;False;True;False;0.0
857560538896879619;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/HC4iVAk1E5'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.12686567164179105;False;True;pos;1.0;32;3937;6;72;False;True;False;0.0
857560539555397632;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/UAuQDliJ65'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.12686567164179105;False;True;pos;1.0;32;4009;5;0;False;True;False;0.0
857560539966451713;"['Hello', 'dude', '!', '?', ""'m"", 'fond', 's??', 'tourism', '.', ""'m"", 'town', 'glad', 'see', '?', 'https', ':', '//t.co/2EW8nKeRma', 'https', ':', '//t.co/KyrEx7NSwB']";Hello dude! ? I'm fond of s?? tourism. Now I'm in your town I will be glad to see you here ?  ;False;140;20;False;True;False;0.0;True;0.1;False;True;pos;1.0;21;1391;1;2;False;True;False;0.0
857560540943613952;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/Y5QoYYMiUm'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.13432835820895522;False;True;pos;1.0;32;4028;18;490;False;True;False;0.0
857560542327832576;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/xJAOIEBxYR'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.14925373134328357;False;True;pos;1.0;32;4011;12;0;False;True;False;0.0
857560543133143040;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/90Ap8aM5FY'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;32;4002;19;0;False;True;False;0.0
857560544261410817;['FAB', 'wrestling', 'w/', 'God', 'post-abuse', 'memoir', '-', 'Finding', 'God', 'Ruins', '@', 'mattbayswriter', ':', '99p', 'https', ':', '//t.co/B61Wk3013F', '$', '.99', 'https', ':', '//t.co/N0vipWoVCp'];FAB wrestling w/ God post-abuse memoir - Finding God in the Ruins @mattbayswriter: 99p   $.99 ;False;140;22;False;False;False;0.0;False;0.1;False;True;pos;1.0;2049;29774;4546;3716;False;True;True;2.0
857560545628696577;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/Ixtacqa1aB'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.1044776119402985;False;True;pos;1.0;32;4034;6;0;False;True;False;0.0
857560545800728580;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/KmAdO1tC33'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;32;4023;16;510;False;True;False;0.0
857560545838473218;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/e0M1SlKovU'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;27;3585;15;0;False;True;False;0.0
857560546668883968;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/8ZgJhERtxf'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;28;3566;8;75;False;True;False;0.0
857560546949857280;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/UMzYlbuEhm'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11940298507462686;False;True;pos;1.0;28;3530;3;0;False;True;False;0.0
857560547100962816;['Daily', 'Deal', '!', 'Get', 'Dyson', 'Ball', 'Animal', 'Complete', 'Upright', 'Vacuum', '(', 'Certified', 'Refurbished', ')', '$', '262', '!', 'Retail', ',', '$', '449', '!', '!', '…', 'https', ':', '//t.co/1478i2ByNQ'];Daily Deal!  Get a Dyson Ball Animal Complete Upright Vacuum (Certified Refurbished) for $262! Retail, $449!!… ;True;134;27;False;True;True;0.0;False;0.11194029850746269;False;True;pos;1.0;27;3569;14;402;False;True;False;0.0
857560548526960642;['@', 'ora_organic', 'entered', 'sweepstakes', 'win', 'Chocolate', 'Organic', 'Protein', 'Powder', '!', '#', 'SoLeanAndSoClean', '!', 'https', ':', '//t.co/xez6zSwSgI', '#', 'giveaway'];@ora_organic I entered the sweepstakes to win your Chocolate Organic Protein Powder! #SoLeanAndSoClean!  #giveaway;False;137;18;False;True;True;0.0;True;0.0948905109489051;True;False;pos;1.0;664;10;7;14;False;True;False;0.0
857560553115594752;['much', 'right', 'forgotten', '!', 'Data', 'retention', 'forever', 'Echo', '.', 'really', 'want', '?', 'https', ':', '//t.co/sOOTafzUzb'];So much for the right to be forgotten! Data retention forever by Echo. Is this what you really want? ;False;124;15;True;True;False;0.0;True;0.06451612903225806;False;True;neg;1.0;1038;8013;3544;85;False;True;False;4.0
857560554898165760;"['Handigger', 'Ergonomic', 'Hand', 'Trowel', 'Releaf', 'Leaf', 'Scoops.Great', '#', 'Gardening', '#', 'Gifts', '--', '&', 'gt', ';', 'https', ':', '//t.co/AQXNDx1yaw', 'https', ':', '//t.co/gaZa0cBoB2', '#', 'giveaway']";"Handigger Ergonomic Hand Trowel and Releaf Leaf Scoops.Great #Gardening #Gifts --&gt;  #giveaway";False;142;23;False;False;False;0.0;False;0.1267605633802817;True;False;neg;1.0;572;1702;24;863;False;True;False;0.0
857560557125324800;['Amazon', 'releasing', 'digital', 'camera', 'may', 'inform', 'case', 'outfit', 'ugly', 'https', ':', '//t.co/6p93WByglH', 'https', ':', '//t.co/PszO3DbtMg'];Amazon is releasing a digital camera that may inform you in case your outfit is ugly  ;False;132;15;False;False;False;0.0;True;0.06060606060606061;False;False;neg;1.0;54;93065;4;70;False;True;False;0.0
857560559214002178;"['Wow', '!', 'entered', 'chance', 'win', '``', 'Rollga', '5-in-1', 'Genesis', 'Connective', 'Therapy', 'Foam', 'Roller', ""''"", 'Rollga', '.', 'https', ':', '//t.co/ezbCHZ9VZh', '#', 'giveaway']";"Wow! I just entered for a chance to win ""Rollga 5-in-1 Genesis Connective Therapy Foam Roller"" by Rollga.  #giveaway";False;139;21;False;True;False;0.0;True;0.10071942446043165;True;False;pos;0.8;572;1702;24;863;False;True;False;0.0
857560571364986880;['#', '6', ':', 'Lots', '24pcs', '2-3cm', 'Pokemon', 'mini', 'random', 'Pearl', 'ct', 'Figures', 'https', ':', '//t.co/EayWDgioCp', '#', 'SciFi'];#6: Lots 24pcs 2-3cm Pokemon mini random Pearl ct Figures  #SciFi;False;88;17;False;False;False;0.0;False;0.11363636363636363;True;True;neg;1.0;780;150850;3768;221;False;True;True;1.0
857560576326848512;['Beat', ':', '$', '500', 'Amazon', 'e-Gift', 'Card', 'Sweepstakes', ':', 'https', ':', '//t.co/6axW8VZQN0'];The Beat: $500 Amazon e-Gift Card Sweepstakes: ;False;70;12;False;False;False;0.0;False;0.15714285714285714;False;False;neg;1.0;1420;25384;216;2317;False;True;False;0.0
